"","county","GEOID","yearG","CAUSE","Ndeaths","YLL","m.YLL","Level","popTot","YLLper","cDeathRate"
"49","Alameda","06001401700","2006-2010",69,5,148.53,29.706,"gbd3",2806,1058.66001425517,35.6379187455453
"50","Alameda","06001401700","2001-2005",69,1,16.89,16.89,"gbd3",2806,120.384889522452,7.12758374910905
"51","Alameda","06001401700","2011-2015",69,10,155.45,15.545,"gbd3",2806,1107.982893799,71.2758374910905
"52","Alameda","06001401800","2001-2005",69,2,33.18,16.59,"gbd3",1947,340.832049306626,20.5444273240883
"53","Alameda","06001401800","2011-2015",69,10,226.77,22.677,"gbd3",1947,2329.42989214176,102.722136620442
"54","Alameda","06001401800","2006-2010",69,9,302.3,33.5888888888889,"gbd3",1947,3105.29019003595,92.4499229583975
"55","Alameda","06001402200","2011-2015",69,14,277.46,19.8185714285714,"gbd3",2452,2263.13213703099,114.192495921697
"56","Alameda","06001402200","2001-2005",69,1,5.6,5.6,"gbd3",2452,45.6769983686786,8.15660685154976
"57","Alameda","06001402200","2006-2010",69,10,109.89,10.989,"gbd3",2452,896.329526916803,81.5660685154975
"58","Alameda","06001402400","2006-2010",69,11,282.74,25.7036363636364,"gbd3",2958,1911.69709263016,74.3745774171738
"59","Alameda","06001402400","2001-2005",69,4,89.24,22.31,"gbd3",2958,603.380662609871,27.0453008789723
"60","Alameda","06001402400","2011-2015",69,10,323.08,32.308,"gbd3",2958,2184.44895199459,67.6132521974307
"61","Alameda","06001402500","2006-2010",69,11,280.4,25.4909090909091,"gbd3",1907,2940.74462506555,115.364446775039
"62","Alameda","06001402500","2001-2005",69,2,71.18,35.59,"gbd3",1907,746.5128474043,20.9753539590981
"63","Alameda","06001402500","2011-2015",69,10,285.82,28.582,"gbd3",1907,2997.5878342947,104.87676979549
"64","Alameda","06001402600","2006-2010",69,10,197.31,19.731,"gbd3",1234,3197.89303079417,162.074554294976
"65","Alameda","06001402600","2011-2015",69,7,129.96,18.5657142857143,"gbd3",1234,2106.3209076175,113.452188006483
"66","Alameda","06001402600","2001-2005",69,1,5.6,5.6,"gbd3",1234,90.7617504051864,16.2074554294976
"67","Alameda","06001402700","2006-2010",69,3,94.62,31.54,"gbd3",1831,1033.53358820317,32.7689787001638
"68","Alameda","06001402700","2001-2005",69,1,22.23,22.23,"gbd3",1831,242.818132168214,10.9229929000546
"69","Alameda","06001402700","2011-2015",69,6,185.16,30.86,"gbd3",1831,2022.50136537411,65.5379574003277
"70","Alameda","06001402800","2011-2015",69,20,540.56,27.028,"gbd3",3520,3071.36363636364,113.636363636364
"71","Alameda","06001402800","2006-2010",69,22,519.84,23.6290909090909,"gbd3",3520,2953.63636363636,125
"72","Alameda","06001402800","2001-2005",69,3,83.82,27.94,"gbd3",3520,476.25,17.0454545454545
"73","Alameda","06001402900","2001-2005",69,3,71.9,23.9666666666667,"gbd3",1458,986.282578875171,41.1522633744856
"74","Alameda","06001402900","2011-2015",69,6,93.01,15.5016666666667,"gbd3",1458,1275.8573388203,82.3045267489712
"75","Alameda","06001402900","2006-2010",69,5,83.23,16.646,"gbd3",1458,1141.70096021948,68.5871056241427
"76","Alameda","06001403000","2011-2015",69,39,683.29,17.5202564102564,"gbd3",2704,5053.9201183432,288.461538461538
"77","Alameda","06001403000","2001-2005",69,3,93.57,31.19,"gbd3",2704,692.085798816568,22.189349112426
"78","Alameda","06001403000","2006-2010",69,32,611.13,19.0978125,"gbd3",2704,4520.19230769231,236.686390532544
"79","Alameda","06001403100","2011-2015",69,5,133.61,26.722,"gbd3",1831,1459.4210813763,54.6149645002731
"80","Alameda","06001403100","2006-2010",69,8,161.06,20.1325,"gbd3",1831,1759.2572364828,87.3839432004369
"81","Alameda","06001403300","2001-2005",69,1,9.38,9.38,"gbd3",4118,45.5560951918407,4.85672656629432
"82","Alameda","06001403300","2011-2015",69,19,358.61,18.8742105263158,"gbd3",4118,1741.67071393881,92.277804759592
"83","Alameda","06001403300","2006-2010",69,8,235.48,29.435,"gbd3",4118,1143.66197183099,38.8538125303545
"84","Alameda","06001403400","2011-2015",69,25,525.12,21.0048,"gbd3",4361,2408.25498738821,114.652602614079
"85","Alameda","06001403400","2006-2010",69,35,803.98,22.9708571428571,"gbd3",4361,3687.1359779867,160.513643659711
"86","Alameda","06001403400","2001-2005",69,3,100.77,33.59,"gbd3",4361,462.141710616831,13.7583123136895
"87","Alameda","06001403501","2001-2005",69,4,92.75,23.1875,"gbd3",4562,406.619903551074,17.5361683472161
"88","Alameda","06001403501","2011-2015",69,23,450.25,19.5760869565217,"gbd3",4562,1973.91494958352,100.832967996493
"89","Alameda","06001403501","2006-2010",69,24,567.99,23.66625,"gbd3",4562,2490.09206488382,105.217010083297
"90","Alameda","06001403502","2011-2015",69,4,98.05,24.5125,"gbd3",2195,893.394077448747,36.4464692482916
"91","Alameda","06001403502","2001-2005",69,2,48.63,24.315,"gbd3",2195,443.097949886105,18.2232346241458
"92","Alameda","06001403502","2006-2010",69,4,64.85,16.2125,"gbd3",2195,590.888382687927,36.4464692482916
"93","Alameda","06001403600","2011-2015",69,15,370.47,24.698,"gbd3",4484,1652.40856378234,66.9045495093666
"94","Alameda","06001403600","2001-2005",69,2,38.85,19.425,"gbd3",4484,173.28278322926,8.92060660124888
"95","Alameda","06001403600","2006-2010",69,20,377.76,18.888,"gbd3",4484,1684.92417484389,89.2060660124888
"96","Alameda","06001403701","2011-2015",69,12,247.81,20.6508333333333,"gbd3",2812,1762.51778093883,85.348506401138
"97","Alameda","06001403701","2006-2010",69,19,238.95,12.5763157894737,"gbd3",2812,1699.50213371266,135.135135135135
"98","Alameda","06001403701","2001-2005",69,1,15.22,15.22,"gbd3",2812,108.250355618777,7.11237553342816
"99","Alameda","06001403702","2001-2005",69,3,34.43,11.4766666666667,"gbd3",1918,359.019812304484,31.2825860271116
"100","Alameda","06001403702","2006-2010",69,9,155.22,17.2466666666667,"gbd3",1918,1618.56100104275,93.8477580813347
"101","Alameda","06001403702","2011-2015",69,5,76.31,15.262,"gbd3",1918,795.724713242961,52.1376433785193
"102","Alameda","06001403800","2006-2010",69,3,41.7,13.9,"gbd3",3372,247.330960854093,17.7935943060498
"103","Alameda","06001403800","2001-2005",69,4,60.92,15.23,"gbd3",3372,361.328588374852,23.7247924080664
"104","Alameda","06001403800","2011-2015",69,8,167.9,20.9875,"gbd3",3372,995.848161328588,47.4495848161329
"105","Alameda","06001403900","2011-2015",69,8,120.39,15.04875,"gbd3",3983,604.51920662817,40.1707255837309
"106","Alameda","06001403900","2006-2010",69,13,194.9,14.9923076923077,"gbd3",3983,978.659302033643,65.2774290735626
"107","Alameda","06001403900","2001-2005",69,1,4.18,4.18,"gbd3",3983,20.9892041174994,5.02134069796636
"108","Alameda","06001404000","2001-2005",69,2,73.19,36.595,"gbd3",2812,520.554765291607,14.2247510668563
"109","Alameda","06001404000","2006-2010",69,4,85.83,21.4575,"gbd3",2812,610.455192034139,28.4495021337127
"110","Alameda","06001404000","2011-2015",69,4,135.59,33.8975,"gbd3",2812,964.366998577525,28.4495021337127
"111","Alameda","06001404101","2006-2010",69,20,389.38,19.469,"gbd3",2986,2608.0375083724,133.958472873409
"112","Alameda","06001404101","2011-2015",69,13,195.16,15.0123076923077,"gbd3",2986,1307.16677829873,87.073007367716
"113","Alameda","06001404101","2001-2005",69,2,65.3,32.65,"gbd3",2986,437.374413931681,13.3958472873409
"114","Alameda","06001404102","2011-2015",69,30,653.8,21.7933333333333,"gbd3",2522,5184.7739888977,237.906423473434
"115","Alameda","06001404102","2001-2005",69,7,152.36,21.7657142857143,"gbd3",2522,1208.24742268041,55.5114988104679
"116","Alameda","06001404102","2006-2010",69,30,582.33,19.411,"gbd3",2522,4618.00158604282,237.906423473434
"117","Alameda","06001404200","2001-2005",69,1,1.94,1.94,"gbd3",3634,10.6769400110072,5.50357732526142
