"","comID","county","yearG","CAUSE","Ndeaths","YLL","m.YLL","Level","popTot","YLLper","cDeathRate","rateLCI","rateUCI","comName"
"192","135f","Riverside","2006-2010",69,311,6947.97,22.3407395498392,"gbd3",128965,1077.4969953088,48.2301399604544,42.8698730114371,53.5904069094717,"Corona South/El Cerrito/Temescal"
"193","135g","Riverside","2011-2015",69,226,5073.01,22.4469469026549,"gbd3",90874,1116.49316636222,49.7391993309417,43.2544579372478,56.2239407246357,"Moreno Valley"
"194","135g","Riverside","2006-2010",69,221,5406.65,24.464479638009,"gbd3",90874,1189.92231001166,48.6387745669829,42.2261682469264,55.0513808870394,"Moreno Valley"
"195","135g","Riverside","2001-2005",69,45,1010.91,22.4646666666667,"gbd3",90874,222.486079626736,9.90382287562999,7.01018154617411,12.7974642050859,"Moreno Valley"
"196","136plus","Sacramento","2001-2005",69,49,981.2,20.0244897959184,"gbd3",64938,302.195940743478,15.0913178724322,10.8658265139732,19.3168092308911,"Clay/Galt/Herald/Wilton/Clarksburg/Hood/Isleton/Locke/Walnut Grove/Rancho Murieta/Sloughhouse"
"197","136plus","Sacramento","2006-2010",69,224,4605.89,20.5620089285714,"gbd3",64938,1418.55000153993,68.988881702547,59.9544011573314,78.0233622477627,"Clay/Galt/Herald/Wilton/Clarksburg/Hood/Isleton/Locke/Walnut Grove/Rancho Murieta/Sloughhouse"
"198","136plus","Sacramento","2011-2015",69,233,4759.24,20.4259227467811,"gbd3",64938,1465.77966675906,71.7607564138101,62.5465669432653,80.9749458843549,"Clay/Galt/Herald/Wilton/Clarksburg/Hood/Isleton/Locke/Walnut Grove/Rancho Murieta/Sloughhouse"
"199","139a","Sacramento","2006-2010",69,488,11499.98,23.6139219712526,"gbd3",195291,1177.7275962538,49.976701435294,45.5425985242679,54.4108043463201,"Elverta/Natomas/North Highlands/Rio Linda"
"200","139a","Sacramento","2011-2015",69,539,12546.19,23.3200557620818,"gbd3",195291,1284.87129463211,55.199676380376,50.5396299905981,59.8597227701538,"Elverta/Natomas/North Highlands/Rio Linda"
"201","139a","Sacramento","2001-2005",69,81,1981.18,24.459012345679,"gbd3",195291,202.89516669995,8.29531314807134,6.48881148021563,10.101814815927,"Elverta/Natomas/North Highlands/Rio Linda"
"202","139b","Sacramento","2011-2015",69,565,11502.98,20.3592566371681,"gbd3",94225,2441.59830193685,119.925709737331,110.037078891507,129.814340583155,"Carmichael/Fair Oaks/Gold River"
"203","139b","Sacramento","2006-2010",69,503,9933.47,19.748449304175,"gbd3",94225,2108.45741576015,106.765720350226,97.4354133655002,116.096027334951,"Carmichael/Fair Oaks/Gold River"
"204","139b","Sacramento","2001-2005",69,103,2330.4,22.8470588235294,"gbd3",94225,494.645794640488,21.8625630140621,17.6404432049704,26.0846828231537,"Carmichael/Fair Oaks/Gold River"
"205","139c","Sacramento","2011-2015",69,581,12438.82,21.4093287435456,"gbd3",121099,2054.32249646983,95.9545495833987,88.1521965673081,103.756902599489,"Antelope/Citrus Heights/Foothill Farms"
"206","139c","Sacramento","2001-2005",69,124,3137.19,25.2999193548387,"gbd3",121099,518.119885383034,20.4791121313966,16.8745843894491,24.0836398733441,"Antelope/Citrus Heights/Foothill Farms"
"207","139c","Sacramento","2006-2010",69,490,10976.86,22.4017551020408,"gbd3",121099,1812.87376444066,80.9255237450351,73.7602040873468,88.0908434027233,"Antelope/Citrus Heights/Foothill Farms"
"208","139d","Sacramento","2011-2015",69,539,11074.96,20.5472356215213,"gbd3",77148,2871.09451962462,139.731425312387,127.935071297945,151.527779326828,"Arcade/Arden/Town and Country Village"
"209","139d","Sacramento","2006-2010",69,488,9425.82,19.3152049180328,"gbd3",77148,2443.56820656401,126.510084512884,115.285679582138,137.73448944363,"Arcade/Arden/Town and Country Village"
"210","139d","Sacramento","2001-2005",69,71,1517.52,21.3735211267606,"gbd3",77148,393.404884118837,18.4061803287188,14.1248120278514,22.6875486295863,"Arcade/Arden/Town and Country Village"
"211","139e","Sacramento","2006-2010",69,413,8244.67,19.9628813559322,"gbd3",115147,1432.02515045985,71.7343916906215,64.8160742550214,78.6527091262217,"Folsom/Orangevale"
"212","139e","Sacramento","2001-2005",69,93,2185.17,23.4964516129032,"gbd3",115147,379.544408451805,16.153264956968,12.8702948108021,19.436235103134,"Folsom/Orangevale"
"213","139e","Sacramento","2011-2015",69,429,8637.38,20.1807943925234,"gbd3",115147,1500.23535133351,74.5134480273042,67.4623929787541,81.5645030758543,"Folsom/Orangevale"
"214","139f","Sacramento","2001-2005",69,115,2535.68,22.0493913043478,"gbd3",124022,408.908096950541,18.5450968376578,15.1556542944064,21.9345393809093,"Florin/Fruitridge/Oak Park/Parkway/South Sacramento"
"215","139f","Sacramento","2006-2010",69,541,12274.02,22.6876524953789,"gbd3",124022,1979.32947380303,87.2425859928077,79.8910516791775,94.594120306438,"Florin/Fruitridge/Oak Park/Parkway/South Sacramento"
"216","139f","Sacramento","2011-2015",69,498,10832.21,21.7514257028112,"gbd3",124022,1746.82072535518,80.30833239264,73.255005249589,87.361659535691,"Florin/Fruitridge/Oak Park/Parkway/South Sacramento"
"217","139g","Sacramento","2001-2005",69,80,1707.18,21.33975,"gbd3",130573,261.490507225843,12.2536818484679,9.56852476215885,14.938838934777,"East Sacramento/La Riviera/Mather/Rancho Cordova/Rosemont"
"218","139g","Sacramento","2006-2010",69,502,11070.59,22.05296812749,"gbd3",130573,1695.69359668538,76.8918535991361,70.1655484969327,83.6181587013395,"East Sacramento/La Riviera/Mather/Rancho Cordova/Rosemont"
"219","139g","Sacramento","2011-2015",69,523,11712.17,22.394206500956,"gbd3",130573,1793.96506168963,80.1084450843589,73.2428916959063,86.9739984728116,"East Sacramento/La Riviera/Mather/Rancho Cordova/Rosemont"
"220","139h","Sacramento","2006-2010",69,189,4031.23,21.3292592592593,"gbd3",79974,1008.13514392177,47.2653612424038,40.5269087564393,54.0038137283683,"Elk Grove/Laguna/Laguna West/Lakeside"
"221","139h","Sacramento","2011-2015",69,228,5241.98,22.9911403508772,"gbd3",79974,1310.92104934104,57.0185310225823,49.6174238715728,64.4196381735919,"Elk Grove/Laguna/Laguna West/Lakeside"
