"","county","year","sex","CAUSE","Level","Ndeaths","YLL","m.YLL","mean.age","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","SMR","aRate","aLCI","aUCI","YLL.adj.rate"
"310","Alameda",2008,"Total",63,"gbd36",42,775.2,18.46,76.62,1492000,51.96,48.31,55.62,2.815,1.964,3.667,1.355,2.971,2.132,4.048,52.23
"311","Alameda",2008,"Total",70,"gbd36",4242,97000,22.87,71.22,1492000,6502,6461,6543,284.4,275.8,292.9,0.9655,308.4,299.1,318,6754
"312","Alameda",2008,"Total",103,"gbd36",110,1996,18.14,77.56,1492000,133.8,127.9,139.6,7.374,5.996,8.752,1.033,7.998,6.563,9.667,140.4
"313","Alameda",2008,"Total",104,"gbd36",592,13280,22.44,71.73,1492000,890.5,875.3,905.6,39.68,36.49,42.88,1.076,42.25,38.87,45.86,904.8
"314","Alameda",2008,"Total",105,"gbd36",310,7047,22.73,71.88,1492000,472.4,461.3,483.4,20.78,18.47,23.09,1.468,22.47,20.01,25.15,493.4
"315","Alameda",2008,"Total",110,"gbd36",168,7264,43.24,49.36,1492000,486.9,475.7,498.1,11.26,9.559,12.96,0.6932,10.74,9.165,12.53,459.5
"316","Alameda",2008,"Total",132,"gbd36",1422,14510,10.2,86.78,1492000,972.6,956.8,988.4,95.32,90.37,100.3,1.075,103.7,98.3,109.2,1085
"317","Alameda",2008,"Total",133,"gbd36",124,1693,13.66,82.03,1492000,113.5,108.1,118.9,8.312,6.849,9.775,0.7617,9.649,8.017,11.52,133.6
"318","Alameda",2008,"Total",135,"gbd36",24,693.5,28.9,64.42,1492000,46.49,43.03,49.95,1.609,0.9652,2.252,0.9657,1.517,0.9672,2.298,42.69
"319","Alameda",2008,"Total",138,"gbd36",162,5111,31.55,61.7,1492000,342.6,333.2,352,10.86,9.187,12.53,1.208,11.22,9.537,13.13,340.7
"320","Alameda",2008,"Total",139,"gbd36",2,108.4,54.18,38,1492000,7.264,5.896,8.631,0.1341,-0.05174,0.3199,0,0.1395,0.0169,0.5418,7.559
"321","Alameda",2008,"Total",147,"gbd36",5948,102200,17.19,78.33,1492000,6853,6811,6895,398.7,388.6,408.9,0.9136,430.3,419.3,441.5,7196
"322","Alameda",2008,"Total",155,"gbd36",832,14340,17.23,77.6,1492000,960.9,945.2,976.7,55.77,51.98,59.56,0.8065,62.79,58.56,67.26,1059
"323","Alameda",2008,"Total",156,"gbd36",48,1469,30.61,64.29,1492000,98.49,93.45,103.5,3.218,2.307,4.128,1.351,3.283,2.415,4.381,97.19
"324","Alameda",2008,"Total",157,"gbd36",420,6671,15.88,79.72,1492000,447.2,436.5,457.9,28.15,25.46,30.85,1.547,30.93,28.02,34.07,485.7
"325","Alameda",2008,"Total",160,"gbd36",280,9157,32.7,60.31,1492000,613.9,601.3,626.4,18.77,16.57,20.97,0.842,18.67,16.52,21.04,589.9
"326","Alameda",2008,"Total",167,"gbd36",280,5836,20.84,73.94,1492000,391.2,381.2,401.2,18.77,16.57,20.97,1.088,20.35,18.01,22.92,405.4
"327","Alameda",2008,"Total",168,"gbd36",418,7678,18.37,76.56,1492000,514.7,503.2,526.2,28.02,25.33,30.71,1.065,31,28.07,34.16,550.2
"328","Alameda",2008,"Total",178,"gbd36",28,653.6,23.34,70.93,1492000,43.81,40.45,47.17,1.877,1.182,2.572,1.459,1.912,1.264,2.795,43.64
"329","Alameda",2008,"Total",179,"gbd36",126,2567,20.37,74.6,1492000,172.1,165.4,178.7,8.446,6.971,9.921,1.175,9,7.484,10.75,177.3
"330","Alameda",2008,"Total",185,"gbd36",86,5767,67.05,25.81,1492000,386.6,376.6,396.5,5.765,4.547,6.983,0.8425,5.75,4.595,7.129,394.3
"331","Alameda",2008,"Total",192,"gbd36",2,46.3,23.15,70,1492000,3.104,2.21,3.998,0.1341,-0.05174,0.3199,0,0.1621,0.01963,0.5947,3.753
"332","Alameda",2008,"Total",198,"gbd36",492,19510,39.82,53.76,1492000,1308,1289,1326,32.98,30.07,35.89,0.8261,33.74,30.79,36.91,1306
"333","Alameda",2008,"Total",208,"gbd36",260,11390,43.8,48.88,1492000,763.3,749.3,777.4,17.43,15.31,19.55,0.8704,16.94,14.92,19.17,728.3
"334","Alameda",2008,"Total",209,"gbd36",326,19860,60.92,31.26,1492000,1331,1313,1350,21.85,19.48,24.23,1.799,20.84,18.63,23.26,1271
"335","Alameda",2008,"Total",210,"gbd36",2,142.1,71.06,21,1492000,9.527,7.961,11.09,0.1341,-0.05174,0.3199,0,0.1314,0.01591,0.5233,9.336
