"","comID","yearG","sex","CAUSE","county","Ndeaths","YLL","m.YLL","mean.age","Level","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","comName","oDeaths","aRate","aLCI","aUCI","YLL.adj.rate"
"534","93.5","2011-2015","Total","0","Mendocino",53,1299,24.52,69.92,"lev0",2030,12800,12110,13500,522.2,381.6,662.7,"Hopland",53,525.2,383.3,725,11310
"535","94","2011-2015","Total","0","Merced",1841,44530,24.19,70.39,"lev0",58040,15350,15200,15490,634.4,605.5,663.4,"Dos Palos/Gustine/Los Banos",1846,798.5,762,836.3,17430
"536","95","2011-2015","Total","0","Merced",956,22680,23.72,70.8,"lev0",40300,11260,11110,11400,474.5,444.4,504.6,"Ballico/Cressey/Delhi/Hilmar/Livingston",994,625.9,587,666.9,13160
"537","96","2011-2015","Total","0","Merced",1536,36280,23.62,70.76,"lev0",51620,14060,13910,14200,595.1,565.4,624.9,"Atwater/Snelling/Winton",1540,744.6,707.4,783.3,15970
"538","97.1","2011-2015","Total","0","Merced",2581,60420,23.41,71.27,"lev0",73470,16450,16320,16580,702.6,675.5,729.7,"Merced Central and North/Merced Southeast",2581,795.8,765.1,827.5,17680
"539","97.2","2011-2015","Total","0","Merced",569,16550,29.09,64.9,"lev0",26900,12310,12120,12500,423,388.3,457.8,"El Nido/Merced Southwest",590,735.9,675.8,800.4,17870
"540","97.3","2011-2015","Total","0","Merced",223,5747,25.77,68.66,"lev0",8383,13710,13360,14060,532,462.2,601.9,"Le Grand/Planada",224,688.9,597.9,790.7,16060
"541","98","2011-2015","Total","0","Modoc",187,4340,23.21,71.53,"lev0",6025,14410,13980,14840,620.7,531.8,709.7,"Alturas/Canby",187,474.1,404.1,557.6,12950
"542","99","2011-2015","Total","0","Modoc",46,923.2,20.07,75.11,"lev0",1229,15020,14050,15990,748.6,532.3,964.9,"Surprise Valley",46,398.8,268,639.5,12100
"543",NA,"2011-2015","Total","0",NA,2500,11810,33.55,59.87,"lev0",0,Inf,NA,Inf,Inf,NA,Inf,NA,NA,NA,NA,NA,NA
