"","year","sex","Level","CAUSE","stateRate"
"1",2000,"Total","gbd36",4,0.111761961140007
"2",2000,"Total","gbd36",21,3.98225514167287
"3",2000,"Total","gbd36",139,0.0470576678484239
"4",2000,"Total","gbd36",185,7.51746243878572
"5",2000,"Total","gbd36",19,0.782333727980048
"6",2000,"Total","gbd36",20,0.211759505317908
"7",2000,"Total","gbd36",105,11.7232415027386
"8",2000,"Total","gbd36",13,1.11173740291902
"9",2000,"Total","gbd36",132,39.8049047912856
"10",2000,"Total","gbd36",198,42.0519084310478
"11",2000,"Total","gbd36",208,18.311315001518
"12",2000,"Total","gbd36",70,311.786460538214
"13",2000,"Total","gbd36",157,17.5525101074621
"14",2000,"Total","gbd36",63,1.57054966444115
"15",2000,"Total","gbd36",14,0.011764416962106
"16",2000,"Total","gbd36",135,1.67054720861905
"17",2000,"Total","gbd36",133,8.71155076043948
"18",2000,"Total","gbd36",104,35.2932508863179
"19",2000,"Total","gbd36",192,0.0823509187347419
"20",2000,"Total","gbd36",49,0.135290795064219
"21",2000,"Total","gbd36",209,12.2585224745144
"22",2000,"Total","gbd36",46,9.51741332234374
"23",2000,"Total","gbd36",10,8.54684892296999
"24",2000,"Total","gbd36",58,8.06450782752365
"25",2000,"Total","gbd36",156,3.26462570698441
"26",2000,"Total","gbd36",179,7.8703949476489
"27",2000,"Total","gbd36",160,21.199479365715
"28",2000,"Total","gbd36",41,0.017646625443159
"29",2000,"Total","gbd36",26,0.00588220848105299
"30",2000,"Total","gbd36",155,71.1217827444117
"31",2000,"Total","gbd36",0,1342.79643426326
"32",2000,"Total","gbd36",51,0.347050300382126
"33",2000,"Total","gbd36",138,8.68213971803421
"34",2000,"Total","gbd36",178,1.38820120152851
"35",2000,"Total","gbd36",210,0.39410796823055
"36",2000,"Total","gbd36",48,49.3576113645156
"37",2000,"Total","gbd36",50,0.00588220848105299
"38",2000,"Total","gbd36",103,6.91159496523726
"39",2000,"Total","gbd36",168,24.2876388182678
"40",2000,"Total","gbd36",110,15.2996242592188
"41",2000,"Total","gbd36",3,0.635278515953723
"42",2000,"Total","gbd36",147,547.045388737928
"43",2000,"Total","gbd36",167,17.6289788177158
"44",2001,"Total","gbd36",41,0.00579496117695201
"45",2001,"Total","gbd36",13,1.09524766244393
"46",2001,"Total","gbd36",14,0.023179844707808
"47",2001,"Total","gbd36",10,8.66346695954325
"48",2001,"Total","gbd36",104,36.3517914630199
"49",2001,"Total","gbd36",132,43.0855363506382
"50",2001,"Total","gbd36",178,1.32125114834506
"51",2001,"Total","gbd36",58,7.9448917736012
"52",2001,"Total","gbd36",185,7.74786309358483
"53",2001,"Total","gbd36",208,18.8683935921557
"54",2001,"Total","gbd36",50,0.02897480588476
"55",2001,"Total","gbd36",4,0.0811294564773281
"56",2001,"Total","gbd36",209,13.3342056681666
"57",2001,"Total","gbd36",21,4.15498716387459
