year,agell,ageul,sex,geoName,nx,raceCode
2009,30,34,Male,San Pablo,1541,Total
2009,30,34,Male,San Ramon,1894,Total
2009,30,34,Male,Walnut Creek,1898,Total
2009,35,39,Male,Antioch,3969,Total
2009,35,39,Male,Brentwood,1903,Total
2009,35,39,Male,Clayton,362,Total
2009,35,39,Male,Concord,4573,Total
2009,35,39,Male,Danville,1128,Total
2009,35,39,Male,El Cerrito,657,Total
2009,35,39,Male,Hercules,893,Total
2009,35,39,Male,Lafayette,673,Total
2009,35,39,Male,Martinez,1065,Total
2009,35,39,Male,Moraga,352,Total
2009,35,39,Male,Oakley,1039,Total
2009,35,39,Male,Orinda,581,Total
2009,35,39,Male,Pinole,544,Total
2009,35,39,Male,Pittsburg,2237,Total
2009,35,39,Male,Pleasant Hill,1082,Total
2009,35,39,Male,Richmond,3950,Total
2009,35,39,Male,San Pablo,1323,Total
2009,35,39,Male,San Ramon,2057,Total
2009,35,39,Male,Walnut Creek,1408,Total
2009,40,44,Male,Antioch,3974,Total
2009,40,44,Male,Brentwood,2535,Total
2009,40,44,Male,Clayton,525,Total
2009,40,44,Male,Concord,4571,Total
2009,40,44,Male,Danville,1987,Total
2009,40,44,Male,El Cerrito,948,Total
2009,40,44,Male,Hercules,1043,Total
2009,40,44,Male,Lafayette,959,Total
2009,40,44,Male,Martinez,1719,Total
2009,40,44,Male,Moraga,493,Total
2009,40,44,Male,Oakley,1272,Total
2009,40,44,Male,Orinda,489,Total
2009,40,44,Male,Pinole,699,Total
2009,40,44,Male,Pittsburg,2382,Total
2009,40,44,Male,Pleasant Hill,1182,Total
2009,40,44,Male,Richmond,3308,Total
2009,40,44,Male,San Pablo,1028,Total
2009,40,44,Male,San Ramon,2563,Total
2009,40,44,Male,Walnut Creek,2222,Total
2009,45,49,Male,Antioch,3702,Total
2009,45,49,Male,Brentwood,1905,Total
2009,45,49,Male,Clayton,417,Total
2009,45,49,Male,Concord,5386,Total
2009,45,49,Male,Danville,1738,Total
2009,45,49,Male,El Cerrito,687,Total
2009,45,49,Male,Hercules,948,Total
2009,45,49,Male,Lafayette,1027,Total
2009,45,49,Male,Martinez,1500,Total
2009,45,49,Male,Moraga,716,Total
2009,45,49,Male,Oakley,1388,Total
2009,45,49,Male,Orinda,633,Total
2009,45,49,Male,Pinole,627,Total
2009,45,49,Male,Pittsburg,1932,Total
2009,45,49,Male,Pleasant Hill,1581,Total
2009,45,49,Male,Richmond,4069,Total
2009,45,49,Male,San Pablo,868,Total
2009,45,49,Male,San Ramon,2287,Total
2009,45,49,Male,Walnut Creek,2454,Total
2009,50,54,Male,Antioch,3344,Total
2009,50,54,Male,Brentwood,1232,Total
2009,50,54,Male,Clayton,555,Total
2009,50,54,Male,Concord,4192,Total
2009,50,54,Male,Danville,1808,Total
2009,50,54,Male,El Cerrito,881,Total
2009,50,54,Male,Hercules,1024,Total
2009,50,54,Male,Lafayette,1121,Total
2009,50,54,Male,Martinez,1827,Total
2009,50,54,Male,Moraga,589,Total
2009,50,54,Male,Oakley,898,Total
2009,50,54,Male,Orinda,841,Total
2009,50,54,Male,Pinole,613,Total
2009,50,54,Male,Pittsburg,1961,Total
2009,50,54,Male,Pleasant Hill,1467,Total
2009,50,54,Male,Richmond,3267,Total
2009,50,54,Male,San Pablo,663,Total
2009,50,54,Male,San Ramon,1796,Total
2009,50,54,Male,Walnut Creek,2424,Total
2009,55,59,Male,Antioch,2403,Total
2009,55,59,Male,Brentwood,859,Total
2009,55,59,Male,Clayton,323,Total
2009,55,59,Male,Concord,3261,Total
2009,55,59,Male,Danville,1289,Total
2009,55,59,Male,El Cerrito,864,Total
2009,55,59,Male,Hercules,762,Total
2009,55,59,Male,Lafayette,838,Total
2009,55,59,Male,Martinez,1508,Total
