"","causeName","CAUSE","sex","county","comName","comID","Ndeaths","cDeathRate","aRate","aLCI","aUCI","aSE","aRateState","aSEState","count","percentGeocoded","myZ","sig","pValue"
"25","ALL Firearm","S","Male","Mono","Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker","102",1,6.527,33.56,0.8496,187,33.56,13.14,0.1168,170,0.858823529411765,0.608458770268859,2,0.271441621531424
"26","Firearm-Suicide","S2","Male","Mono","Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker","102",1,6.527,2.928,0.07412,59.79,2.928,7.108,0.08629,170,0.858823529411765,-1.42697608574245,2,0.923206606083609
"27","ALL Firearm","S","Total","Mono","Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker","102",2,6.705,25.73,2.994,98.59,18.43,7.303,0.06097,170,0.858823529411765,0.999831750785419,2,0.158695968740638
"28","Firearm-Suicide","S2","Total","Mono","Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker","102",1,3.352,1.428,0.03615,30.81,1.428,3.784,0.04336,170,0.858823529411765,-1.64909989945512,2,0.950436414876815
"29","Firearm-Homicide","S3","Total","Mono","Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker","102",1,3.352,1.971,0.0499,31.48,1.971,3.405,0.04217,170,0.858823529411765,-0.727383004391153,2,0.766504318540507
"30","ALL Firearm","S","Male","Mono","Mammoth Lakes","103",4,18.31,244.6,40.5,809.4,155,13.14,0.1168,170,0.858823529411765,1.49328989860944,2,0.0676806592995063
"31","Firearm-Suicide","S2","Male","Mono","Mammoth Lakes","103",1,4.578,32.03,NA,NA,NA,7.108,0.08629,170,0.858823529411765,NA,NA,NA
"32","Firearm-Homicide","S3","Male","Mono","Mammoth Lakes","103",2,9.155,8.033,NA,NA,NA,5.834,0.07741,170,0.858823529411765,NA,NA,NA
"33","Firearm-Undermined","S4","Male","Mono","Mammoth Lakes","103",1,4.578,32.03,NA,NA,NA,0.057,0.007704,170,0.858823529411765,NA,NA,NA
"34","ALL Firearm","S","Total","Mono","Mammoth Lakes","103",4,9.886,233.7,34.75,798.9,154.2,7.303,0.06097,170,0.858823529411765,1.46820351687946,2,0.0710244746310067
"35","Firearm-Suicide","S2","Total","Mono","Mammoth Lakes","103",1,2.472,32.03,NA,NA,NA,3.784,0.04336,170,0.858823529411765,NA,NA,NA
"36","Firearm-Homicide","S3","Total","Mono","Mammoth Lakes","103",2,4.943,4.818,NA,NA,NA,3.405,0.04217,170,0.858823529411765,NA,NA,NA
"37","Firearm-Undermined","S4","Total","Mono","Mammoth Lakes","103",1,2.472,32.03,NA,NA,NA,0.03476,0.004209,170,0.858823529411765,NA,NA,NA
"38","ALL Firearm","S","Male","Monterey","Big Sur/Lucia","104",1,21.21,1818,46.03,10130,1818,13.14,0.1168,12745,0.95166732051785,0.992772275178838,2,0.160410471964012
"39","Firearm-Suicide","S2","Male","Monterey","Big Sur/Lucia","104",1,21.21,28.2,0.7139,340.6,28.2,7.108,0.08629,12745,0.95166732051785,0.747939760877488,2,0.227248246629727
"40","ALL Firearm","S","Total","Monterey","Big Sur/Lucia","104",1,11.57,1111,28.13,6191,1111,7.303,0.06097,12745,0.95166732051785,0.99342664116834,2,0.160251041954905
"41","Firearm-Suicide","S2","Total","Monterey","Big Sur/Lucia","104",1,11.57,17.23,0.4363,107.7,17.23,3.784,0.04336,12745,0.95166732051785,0.780380581752169,2,0.217583447087751
"42","ALL Firearm","S","Male","Monterey","King City/San Lucas","105",18,40.07,55.46,32.72,89.8,13.17,13.14,0.1168,12745,0.95166732051785,3.21323734283385,1,0.000656238910677898
"43","Firearm-Suicide","S2","Male","Monterey","King City/San Lucas","105",3,6.678,7.019,1.413,41.9,4.097,7.108,0.08629,12745,0.95166732051785,-0.0217183955284208,2,0.508663705138106
"44","Firearm-Homicide","S3","Male","Monterey","King City/San Lucas","105",15,33.39,29.52,16.48,66.14,7.652,5.834,0.07741,12745,0.95166732051785,3.09524151643357,1,0.000983263479795382
"45","ALL Firearm","S","Total","Monterey","King City/San Lucas","105",18,21.02,29,17.09,46.93,6.895,7.303,0.06097,12745,0.95166732051785,3.14665000447391,1,0.000825762612164604
"46","Firearm-Suicide","S2","Total","Monterey","King City/San Lucas","105",3,3.503,3.645,0.7287,21.32,2.134,3.784,0.04336,12745,0.95166732051785,-0.0651224535971046,2,0.52596174850427
"47","Firearm-Homicide","S3","Total","Monterey","King City/San Lucas","105",15,17.51,15.46,8.626,34.15,4.011,3.405,0.04217,12745,0.95166732051785,3.00531882382244,1,0.00132651298896924
"48","ALL Firearm","S","Female","Monterey","Bradley/San Ardo","106",1,9.246,70.42,1.783,392.4,70.42,1.683,0.04131,12745,0.95166732051785,0.976100371668349,2,0.164507363604143
"49","Firearm-Suicide","S2","Female","Monterey","Bradley/San Ardo","106",1,9.246,9.495,0.2404,171.9,9.495,0.7903,0.02782,12745,0.95166732051785,0.916762784275007,2,0.179633479065009
"50","ALL Firearm","S","Male","Monterey","Bradley/San Ardo","106",2,15.77,66.2,8.002,242.1,46.84,13.14,0.1168,12745,0.95166732051785,1.13278896321041,2,0.128651443685296
"51","Firearm-Suicide","S2","Male","Monterey","Bradley/San Ardo","106",2,15.77,17.9,2.164,103.3,12.67,7.108,0.08629,12745,0.95166732051785,0.85175609478492,2,0.197174739722586
"52","ALL Firearm","S","Total","Monterey","Bradley/San Ardo","106",3,12.77,49.05,10.04,145.8,28.43,7.303,0.06097,12745,0.95166732051785,1.46841027083121,2,0.0709964066812039
"53","Firearm-Suicide","S2","Total","Monterey","Bradley/San Ardo","106",3,12.77,13.26,2.714,68.84,7.686,3.784,0.04336,12745,0.95166732051785,1.23287135226312,2,0.108811882575362
"54","ALL Firearm","S","Female","Monterey","Chualar/Gonzalez/Greenfield/Soledad","107",1,0.8457,5.312,0.1345,29.6,5.312,1.683,0.04131,12745,0.95166732051785,0.683149523427246,2,0.247256182308323
"55","Firearm-Homicide","S3","Female","Monterey","Chualar/Gonzalez/Greenfield/Soledad","107",1,0.8457,0.7365,0.01865,7.498,0.7365,0.8687,0.03016,12745,0.95166732051785,-0.179347309670498,2,0.571167499365624
"56","ALL Firearm","S","Male","Monterey","Chualar/Gonzalez/Greenfield/Soledad","107",24,14.39,20.7,12.92,32.67,4.445,13.14,0.1168,12745,0.95166732051785,1.7002005377206,2,0.0445466055855883
"57","Firearm-Suicide","S2","Male","Monterey","Chualar/Gonzalez/Greenfield/Soledad","107",5,2.998,4.179,1.21,12.55,2.014,7.108,0.08629,12745,0.95166732051785,-1.45298674834048,2,0.926886283321756
"58","Firearm-Homicide","S3","Male","Monterey","Chualar/Gonzalez/Greenfield/Soledad","107",19,11.39,10.82,6.47,19.57,2.515,5.834,0.07741,12745,0.95166732051785,1.98156655720807,1,0.0237638866308214
"59","ALL Firearm","S","Total","Monterey","Chualar/Gonzalez/Greenfield/Soledad","107",25,8.772,12.46,7.961,19.11,2.557,7.303,0.06097,12745,0.95166732051785,2.01624349276332,1,0.0218872602647381
"60","Firearm-Suicide","S2","Total","Monterey","Chualar/Gonzalez/Greenfield/Soledad","107",5,1.754,2.301,0.7021,6.522,1.073,3.784,0.04336,12745,0.95166732051785,-1.38097915302254,2,0.916357314695506
"61","Firearm-Homicide","S3","Total","Monterey","Chualar/Gonzalez/Greenfield/Soledad","107",20,7.017,6.731,4.101,11.49,1.512,3.405,0.04217,12745,0.95166732051785,2.19888040113289,1,0.0139432137735384
"62","ALL Firearm","S","Female","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",7,4.821,8.95,3.397,20.08,3.555,1.683,0.04131,12745,0.95166732051785,2.04402515250256,1,0.0204755311990201
"63","Firearm-Suicide","S2","Female","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",2,1.378,1.626,0.1571,6.837,1.229,0.7903,0.02782,12745,0.95166732051785,0.679809581150353,2,0.24831251961368
