county,comName,Ndeaths 2008-2012,Ndeaths 2013-2017,Rate 2008-2012,Rate 2013-2017,Percent Change,pValue,Community 13-17 Compared to State 15-17
Fresno,Bowles/Caruthers/Easton/Kingsburg/Lanare/Laton/Raisin City/Riverdale/Selma,45,31,9.948,7.02,-29.43305186972256,0.07017820270565711,No Diff
Fresno,Cantua Creek/San Joaquin/Tranquility,3,1,7.291,3.824,-47.551776162391995,0.2710411334638212,No Diff
Fresno,Clovis West/Fresno East,21,28,4.278,4.824,12.762973352033667,0.3405729701890794,No Diff
Fresno,Coalinga,2,1,1.712,0.9065,-47.050233644859816,0.29719286792684363,Lower
Fresno,Firebaugh/Mendota,6,9,4.511,7.011,55.42008423852804,0.20420418718833822,No Diff
Fresno,Fresno East Central,70,60,13.82,12.47,-9.768451519536901,0.28544825635525084,Higher
Fresno,Fresno North Central,29,18,7.103,4.25,-40.16612698859636,0.05124778085477111,No Diff
Fresno,Fresno Northwest,24,24,3.466,3.481,0.43277553375648237,0.49411943238341083,Lower
Fresno,Fresno South and West,47,58,10.14,12.68,25.04930966469427,0.1337629458899794,Higher
Fresno,Fresno West Central,47,51,11.07,11.58,4.607046070460703,0.41451654857487885,Higher
Fresno,Huron,1,5,1.682,12.26,628.8941736028537,0.033168720100887006,No Diff
Fresno,Orange Cove/Parlier/Reedley/Squaw Valley/Tivy Valley/Wonder Valley,26,24,8.589,8.286,-3.5277680754453464,0.45051954422345475,Higher
Glenn,Artois/Elk Creek/Glenn/Grindstone Indian Rancheria/Willows,1,NA,1.835,NA,NA,NA,NA
Glenn,Hamilton City,2,1,14,7.511,-46.35,0.301052528840136,No Diff
Glenn,Orland,1,7,1.31,11.09,746.5648854961831,0.014138431971118082,No Diff
Humboldt,Arcata/Eureka,13,19,3.718,5.086,36.79397525551373,0.2006725182041732,No Diff
Humboldt,Bluelake/McKinleyville/Orick/Trinidad,4,8,2.984,7.151,139.64477211796248,0.0809108122609008,No Diff
Humboldt,Ferndale/Fortuna/Rio Dell/Scotia,5,7,4.466,5.631,26.085982982534706,0.3470620428124743,No Diff
Humboldt,Garberville/Redway,NA,6,NA,20.98,NA,NA,Higher
Humboldt,Hoopa/Willow Creek,1,2,3.089,7.681,148.65652314664942,0.2343342554808696,No Diff
Imperial,Bombay Beach/Calipatria/Desert Shores/Niland/Salton City/Salton Sea Beach,4,3,4.016,3.984,-0.7968127490039848,0.4959033033533147,No Diff
Imperial,Brawley/Westmorland,4,6,3.206,4.326,34.934497816593876,0.32303769549604855,No Diff
Imperial,Calexico/Ocotillo,4,3,1.56,1.291,-17.24358974358975,0.4018618396406566,Lower
Imperial,El Centro/Heber/Holtville/Imperial/Seeley,11,7,2.724,1.721,-36.8208516886931,0.172136979242124,Lower
Inyo,Aberdeen/Big Pine/Big Pine Reservation/Fort Independence Indian/Independence,1,NA,4.021,NA,NA,NA,NA
Inyo,Alabama Hills/Cartago/Darwin/Keeler/Lone Pine/Lone Pine Paiute Shoshone Tribe/Olancha/Pearsonville,1,NA,5.102,NA,NA,NA,NA
Inyo,Bishop/Bishop Paiute Tribe/Mustang Mesa/Round Valley/West Bishop/Wilkerson,2,1,4.114,0.8165,-80.15313563441906,0.137783149777166,Lower
Kern,Alta Sierra/Bodfish/Glennville/Kernville/Lake Isabella/Weldon/Wofford Heights,8,6,13.49,9.143,-32.22386953298739,0.2558423038904154,No Diff
Kern,Arvin/Lamont/Weed Patch,23,28,9.334,13.23,41.73987572316264,0.12258822694898819,Higher
Kern,Bakersfield East/Lakeview/La Loma,129,117,18.5,16.64,-10.05405405405405,0.2092117963191995,Higher
Kern,Bakersfield Northeast/Oildale,45,48,8.635,9.46,9.554140127388548,0.33365992732619143,Higher
Kern,Bakersfield Northwest/Rosedale,20,18,3.685,3.077,-16.499321573948443,0.29191210051318484,Lower
Kern,Bakersfield Southwest,48,63,5.86,7.128,21.638225255972692,0.15533514596731313,Higher
Kern,Bear Valley Springs/Keene/Stallion Springs/Tehachapi,7,10,3.769,5.209,38.20642080127353,0.2608257714216451,No Diff
Kern,Blackwells Corners/Ford City/Maricopa/McKittrick/Taft,4,1,3.268,1.172,-64.13708690330479,0.14999142347404593,Lower
Kern,Boron/California City/Desert Lake/Mojave/North Edwards/Rosamond,15,12,7.662,5.373,-29.874706342991384,0.18736453997180247,No Diff
Kern,Buttonwillow,3,1,16.86,5.549,-67.08778173190984,0.15956128582096185,No Diff
Kern,Delano/McFarland,20,49,5.716,12.88,125.33240027991604,0.0010261212386156737,Higher
Kern,Fort Tejon/Frazier Park/Lebec/Pine Mountain,1,1,3.649,2.386,-34.61222252671964,0.38602686067398173,No Diff
Kern,Inyokern/Ridgecrest,6,9,3.403,5.638,65.67734352042315,0.17473633263291122,No Diff
Kern,Lost Hills/Wasco,10,8,6.963,4.928,-29.225908372827803,0.2401527740783722,No Diff
Kern,Shafter,9,8,9.267,7.483,-19.25110607532103,0.3421257603129054,No Diff
Kings,Armona/Hanford/Lemoore,20,26,3.592,4.832,34.52115812917594,0.1640956954378857,No Diff
Kings,Avenal,4,6,4.333,8.224,89.79921532425571,0.16723819871414047,No Diff
Kings,Corcoran/Kettleman City/Stratford,15,15,10.97,9.682,-11.741112123974476,0.37301218977684203,Higher
Lake,Clearlake/Clearlake Oaks,11,19,12.5,21.01,68.08000000000001,0.09335256097788991,Higher
Lake,Cobb/Hidden Valley/Middletown,1,3,1.403,8.48,504.41910192444766,0.08281264287073486,No Diff
Lake,Kelseyville/Lakeport,NA,5,NA,5.085,NA,NA,No Diff
Lake,Lower Lake,1,2,2.577,5.625,118.27706635622818,0.2621828681996963,No Diff
Lake,Lucerne/Nice/Upper Lake,2,7,5.078,17.74,249.35013784954702,0.05726876832084005,Higher
Lassen,Susanville,3,3,1.987,2.907,46.3009562154001,0.32931387178692173,No Diff
Los Angeles,Acton/Ravenna,1,2,0.9004,3.823,324.5890715237672,0.18743385184575478,No Diff
Los Angeles,Agoura Hills/Calabasas/Hidden Hills/West Hills/Westlake,11,4,2.148,0.6739,-68.6266294227188,0.0265124183492238,Lower
Los Angeles,Alhambra/El Sereno South/San Gabriel Central,14,22,2.615,3.98,52.19885277246652,0.11015986435476444,No Diff
Los Angeles,Altadena East/Angeles National Forest East/Azusa North/Duarte North/Glendora/Pasadena East,9,3,1.816,0.6542,-63.975770925110126,0.05376798708280206,Lower
Los Angeles,Altadena West/Pasadena Northwest,21,25,4.248,4.813,13.300376647834263,0.3378880886183604,No Diff
Los Angeles,Angeles National Forest West/Kagel Canyon/Lake View Terrace/San Fernando East/Sylmar,27,32,5.159,5.771,11.862764101570074,0.33462927229445183,No Diff
Los Angeles,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre,12,20,2.357,4.133,75.35002121340685,0.0634558099640472,No Diff
Los Angeles,Arcadia Southeast/San Gabriel North,12,9,2.308,1.666,-27.81629116117851,0.23461991131698,Lower
Los Angeles,Arleta/Pacoima West/Panorama City/San Fernando West,51,43,7.432,6.362,-14.397201291711522,0.2291191577157412,No Diff
Los Angeles,Asuza/Charter Oak/Covina,33,28,5.418,4.429,-18.253968253968253,0.21834277839265437,No Diff
Los Angeles,Athens/Gardena Northeast/Harbor Gateway North,117,81,27.89,18.56,-33.45285048404447,0.002630547620680823,Higher
Los Angeles,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,9,7,2.05,1.267,-38.19512195121951,0.17962459590326585,Lower
Los Angeles,Avalon,1,NA,4.457,NA,NA,NA,NA
Los Angeles,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills,26,19,3.789,2.837,-25.12536289258379,0.17027255913758776,Lower
Los Angeles,Baldwin Park/Irwindale,23,28,4.01,5.137,28.10473815461346,0.19147189659679864,No Diff
Los Angeles,Bassett/Industry West/La Puente,49,27,7.502,4.395,-41.415622500666494,0.01267693655174118,No Diff
Los Angeles,Bel Air/Beverly Glen/Beverly Hills/Brentwood/Malibu/Pacific Palisades/Santa Monica Northwest/Topanga,1,2,0.2421,0.5076,109.6654275092937,0.28450577027863266,Lower
Los Angeles,Bell Northeast/Bell Gardens/Commerce/Maywood/Montebello South,54,36,8.504,5.935,-30.20931326434619,0.048879333718307105,No Diff
