"","year","GEOID","sex","raceName","lAge","population","deaths","life_expectancy","LE_lci","LE_uci"
"1",2013,"06001","FEMALE","Asian",0,11247,30,90.2240086669325,89.7527613868518,90.6952559470131
"2",2013,"06001","FEMALE","Asian",50,80436,103,41.0887555351129,40.6261295836354,41.5513814865905
"3",2013,"06001","FEMALE","Black",0,4941,46,78.2545727751825,77.7569599284298,78.7521856219352
"4",2013,"06001","FEMALE","Black",50,37786,228,31.6635704877999,31.2668860424962,32.0602549331036
"5",2013,"06001","FEMALE","Latino",0,15196,47,87.2609273838325,86.6560368947498,87.8658178729153
"6",2013,"06001","FEMALE","Latino",50,46808,93,38.3243809407071,37.7226239449648,38.9261379364493
"7",2013,"06001","FEMALE","Total",0,47412,172,84.5109832703323,84.3416427709636,84.6803237697009
"8",2013,"06001","FEMALE","Total",50,286204,747,35.9920774892522,35.8374350263986,36.1467199521058
"9",2013,"06001","FEMALE","White",0,11280,29,83.6223102180119,83.3902807232735,83.8543397127503
"10",2013,"06001","FEMALE","White",50,110658,287,34.8590110015572,34.6607431569012,35.0572788462132
"11",2013,"06001","MALE","Asian",0,11840,41,86.4350897919874,85.9590272158401,86.9111523681346
"12",2013,"06001","MALE","Asian",50,71569,149,37.7735789056928,37.3077340772384,38.2394237341472
"13",2013,"06001","MALE","Black",0,4981,56,71.9594292505267,71.4267673961625,72.4920911048908
"14",2013,"06001","MALE","Black",50,33332,273,27.6914021598072,27.2918504710963,28.0909538485181
"15",2013,"06001","MALE","Latino",0,15985,60,82.447003248091,81.8228939909627,83.0711125052193
"16",2013,"06001","MALE","Latino",50,47067,174,34.6448916648052,34.0184150436677,35.2713682859428
"17",2013,"06001","MALE","Total",0,49635,218,80.0395352864594,79.8630727504778,80.215997822441
"18",2013,"06001","MALE","Total",50,275846,1137,32.5583372168011,32.4020194178089,32.7146550157932
"19",2013,"06001","MALE","White",0,11900,43,79.351243412829,79.1017353198267,79.6007515058313
"20",2013,"06001","MALE","White",50,114468,489,31.5522244186026,31.3548177212869,31.7496311159183
"21",2013,"06001","TOTAL","Asian",0,23087,71,88.3984331240702,88.0595589548125,88.7373072933279
"22",2013,"06001","TOTAL","Asian",50,152005,252,39.5958342214325,39.2647824480296,39.9268859948355
"23",2013,"06001","TOTAL","Black",0,9922,102,75.1191057634716,74.7464569141103,75.4917546128328
"24",2013,"06001","TOTAL","Black",50,71118,501,29.8478032082069,29.5621027042554,30.1335037121585
"25",2013,"06001","TOTAL","Latino",0,31181,107,84.8585390444401,84.4204306515724,85.2966474373077
