  Year          Age             Female            Male           Total
1933-1934        0             0.057137        0.072252        0.064823
1933-1934      1-4             0.004572        0.005233        0.004907
1933-1934      5-9             0.001504        0.001798        0.001654
1933-1934     10-14            0.001187        0.001538        0.001364
1933-1934     15-19            0.002081        0.002497        0.002289
1933-1934     20-24            0.003097        0.003502        0.003297
1933-1934     25-29            0.003583        0.003906        0.003743
1933-1934     30-34            0.004060        0.004688        0.004372
1933-1934     35-39            0.005061        0.006145        0.005607
1933-1934     40-44            0.006079        0.007874        0.006998
1933-1934     45-49            0.008427        0.011230        0.009883
1933-1934     50-54            0.011787        0.015702        0.013823
1933-1934     55-59            0.015827        0.021076        0.018545
1933-1934     60-64            0.024411        0.031734        0.028171
1933-1934     65-69            0.035658        0.044466        0.040135
1933-1934     70-74            0.057662        0.069966        0.063810
1933-1934     75-79            0.084126        0.098227        0.091031
1933-1934     80-84            0.127603        0.148545        0.137285
1933-1934     85-89            0.184845        0.213111        0.197107
1933-1934     90-94            0.256695        0.276898        0.264762
1933-1934     95-99            0.277550        0.286429        0.280805
1933-1934    100-104           0.371969        0.433993        0.393382
1933-1934    105-109           0.444322        0.578547        0.486871
1933-1934    110+              0.598930        1.075716        0.717484
1935-1939        0             0.051988        0.066335        0.059298
1935-1939      1-4             0.003766        0.004332        0.004052
1935-1939      5-9             0.001274        0.001580        0.001430
1935-1939     10-14            0.001065        0.001418        0.001243
1935-1939     15-19            0.001882        0.002345        0.002113
1935-1939     20-24            0.002694        0.003215        0.002951
1935-1939     25-29            0.003187        0.003649        0.003415
1935-1939     30-34            0.003609        0.004333        0.003968
1935-1939     35-39            0.004694        0.005883        0.005288
1935-1939     40-44            0.005808        0.007866        0.006850
1935-1939     45-49            0.007887        0.010972        0.009474
1935-1939     50-54            0.011287        0.015810        0.013633
1935-1939     55-59            0.015489        0.021756        0.018721
1935-1939     60-64            0.022988        0.031079        0.027108
1935-1939     65-69            0.035735        0.046179        0.040994
1935-1939     70-74            0.054913        0.067088        0.060958
1935-1939     75-79            0.086942        0.103255        0.094832
1935-1939     80-84            0.125909        0.148787        0.136427
1935-1939     85-89            0.192331        0.219866        0.204222
1935-1939     90-94            0.259750        0.284325        0.269583
1935-1939     95-99            0.293631        0.305307        0.298035
1935-1939    100-104           0.413751        0.410211        0.412509
1935-1939    105-109           0.509778        0.487387        0.502473
1935-1939    110+              0.655324        0.755410        0.678164
1940-1944        0             0.042452        0.054028        0.048376
1940-1944      1-4             0.002394        0.002786        0.002593
1940-1944      5-9             0.000867        0.001169        0.001020
1940-1944     10-14            0.000753        0.001087        0.000923
1940-1944     15-19            0.001342        0.001949        0.001641
1940-1944     20-24            0.001898        0.003035        0.002426
1940-1944     25-29            0.002171        0.003009        0.002566
1940-1944     30-34            0.002742        0.003568        0.003140
1940-1944     35-39            0.003539        0.004694        0.004103
1940-1944     40-44            0.004853        0.006646        0.005748
1940-1944     45-49            0.006651        0.009777        0.008232
1940-1944     50-54            0.009818        0.014802        0.012373
1940-1944     55-59            0.014059        0.021597        0.017916
1940-1944     60-64            0.020627        0.030199        0.025464
1940-1944     65-69            0.031612        0.043476        0.037497
1940-1944     70-74            0.051185        0.065115        0.058026
1940-1944     75-79            0.080371        0.097523        0.088549
1940-1944     80-84            0.121996        0.147297        0.133387
1940-1944     85-89            0.183354        0.214327        0.196559
1940-1944     90-94            0.257065        0.288724        0.269586
1940-1944     95-99            0.293978        0.311228        0.300471
1940-1944    100-104           0.405800        0.413066        0.408469
1940-1944    105-109           0.460964        0.489343        0.470632
1940-1944    110+              0.354900        0.373631        0.360624
1945-1949        0             0.033113        0.042801        0.038070
1945-1949      1-4             0.001553        0.001850        0.001704
1945-1949      5-9             0.000646        0.000906        0.000778
1945-1949     10-14            0.000570        0.000872        0.000724
1945-1949     15-19            0.000964        0.001646        0.001295
1945-1949     20-24            0.001362        0.002410        0.001849
1945-1949     25-29            0.001553        0.002322        0.001918
1945-1949     30-34            0.002023        0.002787        0.002390
1945-1949     35-39            0.002816        0.003914        0.003350
1945-1949     40-44            0.003929        0.005794        0.004854
1945-1949     45-49            0.005747        0.008849        0.007299
1945-1949     50-54            0.008453        0.013918        0.011207
1945-1949     55-59            0.012409        0.020761        0.016622
1945-1949     60-64            0.018297        0.029315        0.023824
1945-1949     65-69            0.027501        0.040700        0.033969
1945-1949     70-74            0.045460        0.060361        0.052661
1945-1949     75-79            0.074034        0.092636        0.082780
1945-1949     80-84            0.109035        0.133592        0.119886
1945-1949     85-89            0.170530        0.201399        0.183377
1945-1949     90-94            0.240615        0.274589        0.253683
1945-1949     95-99            0.291227        0.314072        0.299616
1945-1949    100-104           0.348990        0.367548        0.355618
1945-1949    105-109           0.286065        0.286722        0.286302
1945-1949    110+              0.076669        0.091979        0.081151
1950-1954        0             0.027107        0.035370        0.031314
1950-1954      1-4             0.001214        0.001440        0.001329
1950-1954      5-9             0.000492        0.000673        0.000584
1950-1954     10-14            0.000408        0.000672        0.000542
1950-1954     15-19            0.000705        0.001437        0.001070
1950-1954     20-24            0.000894        0.002020        0.001425
1950-1954     25-29            0.001111        0.001953        0.001520
1950-1954     30-34            0.001475        0.002263        0.001859
1950-1954     35-39            0.002154        0.003172        0.002653
1950-1954     40-44            0.003295        0.005126        0.004200
1950-1954     45-49            0.004852        0.008096        0.006463
1950-1954     50-54            0.007538        0.013019        0.010266
1950-1954     55-59            0.010739        0.019482        0.015087
1950-1954     60-64            0.016370        0.028479        0.022365
1950-1954     65-69            0.024957        0.040766        0.032583
1950-1954     70-74            0.040783        0.058642        0.049231
1950-1954     75-79            0.066767        0.087283        0.076240
1950-1954     80-84            0.102122        0.129889        0.114097
1950-1954     85-89            0.159461        0.193123        0.173126
1950-1954     90-94            0.236614        0.270897        0.249474
1950-1954     95-99            0.314986        0.344842        0.325389
1950-1954    100-104           0.352305        0.358338        0.354390
1950-1954    105-109           0.227919        0.206419        0.220185
1950-1954    110+              0.154196        0.142432        0.149969
1955-1959        0             0.024243        0.031564        0.027968
1955-1959      1-4             0.001020        0.001195        0.001109
1955-1959      5-9             0.000413        0.000573        0.000494
1955-1959     10-14            0.000338        0.000580        0.000461
1955-1959     15-19            0.000573        0.001342        0.000956
1955-1959     20-24            0.000736        0.001930        0.001310
1955-1959     25-29            0.000908        0.001755        0.001323
1955-1959     30-34            0.001270        0.002053        0.001653
1955-1959     35-39            0.001842        0.002878        0.002348
1955-1959     40-44            0.002838        0.004662        0.003734
1955-1959     45-49            0.004308        0.007540        0.005902
1955-1959     50-54            0.006582        0.012296        0.009408
1955-1959     55-59            0.009765        0.018572        0.014092
1955-1959     60-64            0.014886        0.028043        0.021235
1955-1959     65-69            0.023542        0.040968        0.031806
1955-1959     70-74            0.037299        0.058021        0.046934
1955-1959     75-79            0.062380        0.085253        0.072709
1955-1959     80-84            0.099386        0.129144        0.111848
1955-1959     85-89            0.158725        0.193327        0.172363
1955-1959     90-94            0.234788        0.270657        0.247842
1955-1959     95-99            0.322067        0.354480        0.332893
1955-1959    100-104           0.355078        0.362324        0.357436
1955-1959    105-109           0.303088        0.294013        0.299903
1955-1959    110+              0.294117        0.240228        0.272119
1960-1964        0             0.022370        0.029391        0.025943
1960-1964      1-4             0.000930        0.001108        0.001020
1960-1964      5-9             0.000391        0.000527        0.000460
1960-1964     10-14            0.000311        0.000526        0.000420
1960-1964     15-19            0.000536        0.001269        0.000905
1960-1964     20-24            0.000697        0.001796        0.001233
1960-1964     25-29            0.000881        0.001737        0.001301
1960-1964     30-34            0.001232        0.002037        0.001627
1960-1964     35-39            0.001835        0.002924        0.002366
1960-1964     40-44            0.002763        0.004596        0.003657
1960-1964     45-49            0.004214        0.007500        0.005825
1960-1964     50-54            0.006375        0.012259        0.009261
1960-1964     55-59            0.009006        0.018214        0.013483
1960-1964     60-64            0.014705        0.028618        0.021324
1960-1964     65-69            0.021971        0.041452        0.030955
1960-1964     70-74            0.035055        0.058376        0.045596
1960-1964     75-79            0.058761        0.085900        0.070650
1960-1964     80-84            0.096753        0.130036        0.110237
1960-1964     85-89            0.156545        0.195372        0.171224
1960-1964     90-94            0.236102        0.274179        0.249459
1960-1964     95-99            0.328655        0.366408        0.340783
1960-1964    100-104           0.381578        0.374813        0.379468
1960-1964    105-109           0.324305        0.320990        0.323158
1960-1964    110+              0.292755        0.279117        0.287435
1965-1969        0             0.020040        0.026142        0.023151
1965-1969      1-4             0.000830        0.001008        0.000921
1965-1969      5-9             0.000365        0.000512        0.000440
1965-1969     10-14            0.000302        0.000515        0.000411
1965-1969     15-19            0.000589        0.001494        0.001045
1965-1969     20-24            0.000723        0.002071        0.001374
1965-1969     25-29            0.000859        0.001953        0.001394
1965-1969     30-34            0.001229        0.002201        0.001705
1965-1969     35-39            0.001850        0.003116        0.002467
1965-1969     40-44            0.002806        0.004787        0.003768
1965-1969     45-49            0.004262        0.007601        0.005881
1965-1969     50-54            0.006272        0.012170        0.009133
1965-1969     55-59            0.008949        0.018546        0.013558
1965-1969     60-64            0.013647        0.028674        0.020717
1965-1969     65-69            0.021221        0.041522        0.030372
1965-1969     70-74            0.033079        0.059581        0.044563
1965-1969     75-79            0.055796        0.087092        0.068890
1965-1969     80-84            0.091596        0.128607        0.106042
1965-1969     85-89            0.149868        0.191045        0.164703
1965-1969     90-94            0.228197        0.273810        0.243205
1965-1969     95-99            0.319657        0.353223        0.329972
1965-1969    100-104           0.366766        0.375446        0.369316
1965-1969    105-109           0.338044        0.316468        0.330594
1965-1969    110+              0.234247        0.279222        0.250202
1970-1974        0             0.016259        0.021028        0.018697
1970-1974      1-4             0.000709        0.000887        0.000800
1970-1974      5-9             0.000336        0.000476        0.000407
1970-1974     10-14            0.000293        0.000501        0.000399
1970-1974     15-19            0.000601        0.001572        0.001093
1970-1974     20-24            0.000719        0.002177        0.001438
1970-1974     25-29            0.000824        0.002003        0.001407
1970-1974     30-34            0.001116        0.002214        0.001655
1970-1974     35-39            0.001712        0.003033        0.002356
1970-1974     40-44            0.002667        0.004605        0.003612
1970-1974     45-49            0.004067        0.007378        0.005666
1970-1974     50-54            0.005891        0.011278        0.008480
1970-1974     55-59            0.008760        0.017829        0.013080
1970-1974     60-64            0.012806        0.026932        0.019382
1970-1974     65-69            0.019286        0.039510        0.028288
1970-1974     70-74            0.031698        0.058541        0.043047
1970-1974     75-79            0.051276        0.084874        0.064690
1970-1974     80-84            0.083959        0.123580        0.098604
1970-1974     85-89            0.137534        0.181807        0.152725
1970-1974     90-94            0.212549        0.258110        0.226725
1970-1974     95-99            0.304684        0.350624        0.317566
1970-1974    100-104           0.362605        0.372843        0.365412
1970-1974    105-109           0.336256        0.315391        0.329743
1970-1974    110+              0.267385        0.248610        0.261282
1975-1979        0             0.012827        0.016155        0.014530
1975-1979      1-4             0.000596        0.000752        0.000676
1975-1979      5-9             0.000271        0.000392        0.000333
1975-1979     10-14            0.000245        0.000430        0.000340
1975-1979     15-19            0.000538        0.001424        0.000988
1975-1979     20-24            0.000642        0.001993        0.001318
1975-1979     25-29            0.000702        0.001889        0.001291
1975-1979     30-34            0.000890        0.001928        0.001402
