  Year          Age             Female            Male           Total
1975-1979     35-39            0.001350        0.002574        0.001949
1975-1979     40-44            0.002198        0.003914        0.003038
1975-1979     45-49            0.003456        0.006316        0.004844
1975-1979     50-54            0.005253        0.010051        0.007551
1975-1979     55-59            0.007717        0.015229        0.011273
1975-1979     60-64            0.011747        0.023945        0.017408
1975-1979     65-69            0.016867        0.034841        0.024822
1975-1979     70-74            0.027649        0.053214        0.038413
1975-1979     75-79            0.043525        0.075897        0.056046
1975-1979     80-84            0.073418        0.114458        0.087895
1975-1979     85-89            0.120148        0.167520        0.135315
1975-1979     90-94            0.189778        0.240701        0.204615
1975-1979     95-99            0.279326        0.329542        0.292417
1975-1979    100-104           0.363262        0.379862        0.367270
1975-1979    105-109           0.364119        0.365813        0.364616
1975-1979    110+              0.309220        0.280198        0.298900
1980-1984        0             0.010416        0.012962        0.011718
1980-1984      1-4             0.000509        0.000649        0.000580
1980-1984      5-9             0.000231        0.000326        0.000279
1980-1984     10-14            0.000216        0.000358        0.000288
1980-1984     15-19            0.000483        0.001249        0.000873
1980-1984     20-24            0.000574        0.001775        0.001177
1980-1984     25-29            0.000641        0.001780        0.001209
1980-1984     30-34            0.000796        0.001882        0.001334
1980-1984     35-39            0.001158        0.002310        0.001725
1980-1984     40-44            0.001860        0.003394        0.002612
1980-1984     45-49            0.003042        0.005484        0.004232
1980-1984     50-54            0.004826        0.008940        0.006808
1980-1984     55-59            0.007407        0.014103        0.010566
1980-1984     60-64            0.011274        0.021448        0.015995
1980-1984     65-69            0.016852        0.032505        0.023822
1980-1984     70-74            0.026089        0.049182        0.035781
1980-1984     75-79            0.040876        0.072483        0.053063
1980-1984     80-84            0.069765        0.110959        0.083875
1980-1984     85-89            0.115005        0.164322        0.129958
1980-1984     90-94            0.182554        0.236423        0.196956
1980-1984     95-99            0.273152        0.333431        0.287467
1980-1984    100-104           0.371978        0.409435        0.380052
1980-1984    105-109           0.403486        0.416550        0.406455
1980-1984    110+              0.412946        0.336409        0.385609
1985-1989        0             0.009271        0.011648        0.010487
1985-1989      1-4             0.000455        0.000574        0.000516
1985-1989      5-9             0.000204        0.000284        0.000245
1985-1989     10-14            0.000202        0.000349        0.000277
1985-1989     15-19            0.000478        0.001197        0.000846
1985-1989     20-24            0.000540        0.001663        0.001108
1985-1989     25-29            0.000640        0.001778        0.001210
1985-1989     30-34            0.000832        0.002131        0.001478
1985-1989     35-39            0.001135        0.002602        0.001860
1985-1989     40-44            0.001708        0.003363        0.002523
1985-1989     45-49            0.002770        0.005030        0.003877
1985-1989     50-54            0.004550        0.008084        0.006262
1985-1989     55-59            0.007104        0.012958        0.009891
1985-1989     60-64            0.011118        0.020254        0.015353
1985-1989     65-69            0.016568        0.030143        0.022653
1985-1989     70-74            0.025644        0.046604        0.034496
1985-1989     75-79            0.039977        0.069452        0.051425
1985-1989     80-84            0.067293        0.108279        0.081320
1985-1989     85-89            0.112964        0.162878        0.127586
1985-1989     90-94            0.184081        0.240825        0.198238
1985-1989     95-99            0.281461        0.342710        0.294555
1985-1989    100-104           0.384685        0.434468        0.394136
1985-1989    105-109           0.456179        0.439718        0.452850
1985-1989    110+              0.493097        0.588304        0.513978
1990-1994        0             0.007935        0.009900        0.008941
1990-1994      1-4             0.000404        0.000498        0.000452
1990-1994      5-9             0.000179        0.000239        0.000210
1990-1994     10-14            0.000188        0.000314        0.000253
1990-1994     15-19            0.000453        0.001251        0.000863
1990-1994     20-24            0.000510        0.001629        0.001080
1990-1994     25-29            0.000630        0.001780        0.001208
1990-1994     30-34            0.000849        0.002253        0.001551
1990-1994     35-39            0.001184        0.002843        0.002008
1990-1994     40-44            0.001669        0.003598        0.002621
1990-1994     45-49            0.002615        0.004879        0.003726
1990-1994     50-54            0.004177        0.007312        0.005703
1990-1994     55-59            0.006688        0.011585        0.009036
1990-1994     60-64            0.010496        0.018345        0.014174
1990-1994     65-69            0.015892        0.027796        0.021246
1990-1994     70-74            0.024376        0.041610        0.031793
1990-1994     75-79            0.037852        0.063132        0.047887
1990-1994     80-84            0.063917        0.101883        0.077128
1990-1994     85-89            0.106556        0.155708        0.120996
1990-1994     90-94            0.176299        0.234085        0.190213
1990-1994     95-99            0.274874        0.343410        0.288313
1990-1994    100-104           0.394410        0.458854        0.405015
1990-1994    105-109           0.479330        0.484084        0.480111
1990-1994    110+              0.516967        0.529237        0.519554
1995-1999        0             0.006810        0.008266        0.007555
1995-1999      1-4             0.000326        0.000402        0.000365
1995-1999      5-9             0.000158        0.000203        0.000181
1995-1999     10-14            0.000177        0.000272        0.000226
1995-1999     15-19            0.000424        0.001042        0.000742
1995-1999     20-24            0.000473        0.001441        0.000966
1995-1999     25-29            0.000570        0.001418        0.000997
1995-1999     30-34            0.000803        0.001792        0.001300
1995-1999     35-39            0.001177        0.002361        0.001767
1995-1999     40-44            0.001709        0.003290        0.002491
1995-1999     45-49            0.002503        0.004611        0.003539
1995-1999     50-54            0.003900        0.006624        0.005231
1995-1999     55-59            0.006271        0.010378        0.008251
1995-1999     60-64            0.010047        0.016527        0.013115
1995-1999     65-69            0.015364        0.025282        0.019908
1995-1999     70-74            0.024044        0.039043        0.030579
1995-1999     75-79            0.037426        0.059029        0.046224
1995-1999     80-84            0.064713        0.098476        0.076885
1995-1999     85-89            0.109809        0.156405        0.123858
1995-1999     90-94            0.184045        0.241222        0.197840
1995-1999     95-99            0.291153        0.354867        0.303125
1995-1999    100-104           0.423938        0.493313        0.434110
1995-1999    105-109           0.559707        0.545102        0.557704
1995-1999    110+              0.525713        0.868901        0.573300
2000-2004        0             0.006311        0.007759        0.007051
2000-2004      1-4             0.000282        0.000353        0.000318
2000-2004      5-9             0.000135        0.000168        0.000152
2000-2004     10-14            0.000154        0.000228        0.000192
2000-2004     15-19            0.000390        0.000915        0.000661
2000-2004     20-24            0.000475        0.001404        0.000949
2000-2004     25-29            0.000547        0.001362        0.000959
2000-2004     30-34            0.000739        0.001499        0.001121
2000-2004     35-39            0.001147        0.002061        0.001603
2000-2004     40-44            0.001770        0.003034        0.002397
2000-2004     45-49            0.002599        0.004545        0.003558
2000-2004     50-54            0.003775        0.006492        0.005104
2000-2004     55-59            0.005854        0.009501        0.007621
2000-2004     60-64            0.009310        0.014669        0.011863
2000-2004     65-69            0.014451        0.022351        0.018120
2000-2004     70-74            0.022723        0.034706        0.028056
2000-2004     75-79            0.036501        0.054323        0.043908
2000-2004     80-84            0.063719        0.091046        0.073969
2000-2004     85-89            0.111118        0.150633        0.123728
2000-2004     90-94            0.189658        0.241852        0.202816
2000-2004     95-99            0.304055        0.366345        0.315927
2000-2004    100-104           0.443975        0.505318        0.452766
2000-2004    105-109           0.595268        0.617043        0.597882
2000-2004    110+              0.650165        0.801620        0.667362
2005-2009        0             0.006211        0.007577        0.006909
2005-2009      1-4             0.000259        0.000321        0.000290
2005-2009      5-9             0.000122        0.000147        0.000135
2005-2009     10-14            0.000132        0.000190        0.000162
2005-2009     15-19            0.000341        0.000825        0.000590
2005-2009     20-24            0.000471        0.001418        0.000956
2005-2009     25-29            0.000565        0.001444        0.001007
2005-2009     30-34            0.000731        0.001517        0.001125
2005-2009     35-39            0.001063        0.001885        0.001473
2005-2009     40-44            0.001696        0.002805        0.002246
2005-2009     45-49            0.002615        0.004283        0.003438
2005-2009     50-54            0.003776        0.006476        0.005098
2005-2009     55-59            0.005375        0.009150        0.007205
2005-2009     60-64            0.008326        0.013248        0.010685
2005-2009     65-69            0.012837        0.019607        0.016013
2005-2009     70-74            0.020401        0.030022        0.024764
2005-2009     75-79            0.033228        0.047680        0.039424
2005-2009     80-84            0.058419        0.081168        0.067286
2005-2009     85-89            0.102449        0.135532        0.113720
2005-2009     90-94            0.178886        0.226083        0.191836
2005-2009     95-99            0.290347        0.351165        0.302615
2005-2009    100-104           0.431920        0.502805        0.442124
2005-2009    105-109           0.579571        0.613118        0.583422
2005-2009    110+              0.724230        0.828533        0.737422
2010-2014        0             0.005462        0.006554        0.006020
2010-2014      1-4             0.000227        0.000287        0.000258
2010-2014      5-9             0.000103        0.000130        0.000116
2010-2014     10-14            0.000116        0.000165        0.000141
2010-2014     15-19            0.000274        0.000660        0.000472
2010-2014     20-24            0.000442        0.001236        0.000848
2010-2014     25-29            0.000567        0.001374        0.000975
2010-2014     30-34            0.000749        0.001522        0.001136
2010-2014     35-39            0.001041        0.001796        0.001417
2010-2014     40-44            0.001557        0.002469        0.002010
2010-2014     45-49            0.002477        0.003907        0.003184
2010-2014     50-54            0.003777        0.006123        0.004928
2010-2014     55-59            0.005365        0.009133        0.007191
2010-2014     60-64            0.007740        0.012828        0.010177
2010-2014     65-69            0.011830        0.018167        0.014822
2010-2014     70-74            0.018733        0.027606        0.022808
2010-2014     75-79            0.030800        0.043479        0.036371
2010-2014     80-84            0.054817        0.073766        0.062592
2010-2014     85-89            0.097603        0.126626        0.108043
2010-2014     90-94            0.170850        0.214570        0.183948
2010-2014     95-99            0.281429        0.341440        0.294875
2010-2014    100-104           0.418555        0.495226        0.430249
2010-2014    105-109           0.572807        0.625563        0.578173
2010-2014    110+              0.592945        0.396754        0.562742
2015-2019        0             0.005191        0.006255        0.005735
2015-2019      1-4             0.000214        0.000271        0.000244
2015-2019      5-9             0.000106        0.000128        0.000117
2015-2019     10-14            0.000124        0.000173        0.000149
2015-2019     15-19            0.000291        0.000695        0.000497
2015-2019     20-24            0.000489        0.001344        0.000927
2015-2019     25-29            0.000661        0.001634        0.001156
2015-2019     30-34            0.000906        0.001877        0.001396
2015-2019     35-39            0.001193        0.002212        0.001703
2015-2019     40-44            0.001614        0.002711        0.002159
2015-2019     45-49            0.002410        0.003857        0.003127
2015-2019     50-54            0.003739        0.006017        0.004859
2015-2019     55-59            0.005583        0.009197        0.007341
2015-2019     60-64            0.007941        0.013305        0.010509
2015-2019     65-69            0.011452        0.018339        0.014698
2015-2019     70-74            0.018102        0.026770        0.022113
2015-2019     75-79            0.029607        0.041904        0.035093
2015-2019     80-84            0.051123        0.068698        0.058518
2015-2019     85-89            0.094498        0.119650        0.104152
2015-2019     90-94            0.168759        0.206674        0.180963
2015-2019     95-99            0.278348        0.334635        0.292368
2015-2019    100-104           0.422326        0.491807        0.434085
2015-2019    105-109           0.573691        0.594342        0.576073
2015-2019    110+              0.712903        0.334262        0.644186
2020-2021        0             0.004983        0.005849        0.005426
2020-2021      1-4             0.000213        0.000262        0.000238
2020-2021      5-9             0.000101        0.000126        0.000114
2020-2021     10-14            0.000131        0.000193        0.000163
2020-2021     15-19            0.000334        0.000849        0.000597
2020-2021     20-24            0.000602        0.001628        0.001126
2020-2021     25-29            0.000851        0.002127        0.001500
2020-2021     30-34            0.001193        0.002618        0.001913
2020-2021     35-39            0.001587        0.003104        0.002352
2020-2021     40-44            0.002137        0.003855        0.002998
2020-2021     45-49            0.002999        0.005124        0.004059
2020-2021     50-54            0.004377        0.007394        0.005880
2020-2021     55-59            0.006563        0.011036        0.008764
2020-2021     60-64            0.009667        0.016025        0.012754
2020-2021     65-69            0.013547        0.021967        0.017545
2020-2021     70-74            0.020702        0.031113        0.025554
2020-2021     75-79            0.034335        0.049066        0.040982
2020-2021     80-84            0.058368        0.079284        0.067308
2020-2021     85-89            0.105086        0.136660        0.117397
2020-2021     90-94            0.183862        0.218573        0.195798
2020-2021     95-99            0.301144        0.352619        0.314846
2020-2021    100-104           0.449719        0.511226        0.461288
2020-2021    105-109           0.607046        0.652937        0.612801
2020-2021    110+              0.831300        0.392726        0.744747
