  Year          Age             Female            Male           Total
     1933        0            984472.26      1015361.55      1999833.81
     1933      1-4           4372158.57      4496175.64      8868334.21
     1933      5-9           6018707.63      6222961.93     12241669.56
     1933     10-14          6116883.14      6191549.70     12308432.84
     1933     15-19          5833499.91      5807879.08     11641378.99
     1933     20-24          5615722.66      5481755.35     11097478.01
     1933     25-29          5196845.15      5054950.46     10251795.61
     1933     30-34          4701350.96      4661866.07      9363217.03
     1933     35-39          4459235.16      4548643.89      9007879.05
     1933     40-44          4135634.14      4367323.66      8502957.80
     1933     45-49          3503873.23      3799971.69      7303844.92
     1933     50-54          2995197.54      3253950.84      6249148.38
     1933     55-59          2464409.67      2655207.58      5119617.25
     1933     60-64          1948475.20      2066830.30      4015305.50
     1933     65-69          1480362.24      1534718.71      3015080.95
     1933     70-74          1037666.60      1043184.33      2080850.93
     1933     75-79           649406.37       625995.20      1275401.57
     1933     80-84           328369.66       282296.69       610666.35
     1933     85-89           128826.33        99033.09       227859.42
     1933     90-94            36957.70        24279.45        61237.15
     1933     95-99             8329.25         4745.20        13074.45
     1933    100-104            1733.93          951.70         2685.63
     1933    105-109             212.19          110.99          323.18
     1933    110+                 14.48            7.02           21.50
     1934        0            937185.83       968955.42      1906141.25
     1934      1-4           4234253.52      4330691.32      8564944.84
     1934      5-9           5924740.68      6153835.81     12078576.49
     1934     10-14          6153298.04      6234590.72     12387888.76
     1934     15-19          5858627.92      5837648.82     11696276.74
     1934     20-24          5658069.11      5536974.59     11195043.70
     1934     25-29          5268227.78      5118517.77     10386745.55
     1934     30-34          4779363.10      4719912.66      9499275.76
     1934     35-39          4447869.13      4509902.38      8957771.51
     1934     40-44          4223343.37      4423894.06      8647237.43
     1934     45-49          3581667.12      3870302.12      7451969.24
     1934     50-54          3051423.21      3305709.26      6357132.47
     1934     55-59          2535897.37      2723642.14      5259539.51
     1934     60-64          2002442.12      2113579.16      4116021.28
     1934     65-69          1526780.92      1578906.06      3105686.98
     1934     70-74          1058329.50      1056821.98      2115151.48
