  Year          Age             Female            Male           Total
1935-1939       27             0.003201        0.003643        0.003419
1935-1939       28             0.003270        0.003737        0.003501
1935-1939       29             0.003325        0.003839        0.003579
1935-1939       30             0.003372        0.003953        0.003659
1935-1939       31             0.003449        0.004101        0.003772
1935-1939       32             0.003568        0.004293        0.003927
1935-1939       33             0.003732        0.004531        0.004128
1935-1939       34             0.003947        0.004818        0.004380
1935-1939       35             0.004206        0.005152        0.004677
1935-1939       36             0.004470        0.005512        0.004989
1935-1939       37             0.004722        0.005887        0.005304
1935-1939       38             0.004956        0.006268        0.005613
1935-1939       39             0.005160        0.006647        0.005907
1935-1939       40             0.005341        0.007020        0.006186
1935-1939       41             0.005535        0.007405        0.006479
1935-1939       42             0.005761        0.007819        0.006803
1935-1939       43             0.006041        0.008286        0.007181
1935-1939       44             0.006390        0.008827        0.007632
1935-1939       45             0.006817        0.009454        0.008165
1935-1939       46             0.007310        0.010157        0.008771
1935-1939       47             0.007866        0.010937        0.009447
1935-1939       48             0.008477        0.011789        0.010187
1935-1939       49             0.009140        0.012718        0.010992
1935-1939       50             0.009852        0.013728        0.011862
1935-1939       51             0.010585        0.014779        0.012762
1935-1939       52             0.011334        0.015868        0.013687
1935-1939       53             0.012093        0.016983        0.014630
1935-1939       54             0.012849        0.018103        0.015573
1935-1939       55             0.013608        0.019225        0.016516
1935-1939       56             0.014452        0.020422        0.017538
1935-1939       57             0.015415        0.021726        0.018671
1935-1939       58             0.016528        0.023174        0.019948
1935-1939       59             0.017828        0.024806        0.021409
1935-1939       60             0.019332        0.026644        0.023075
1935-1939       61             0.021034        0.028721        0.024958
1935-1939       62             0.022939        0.031047        0.027067
1935-1939       63             0.025068        0.033646        0.029423
1935-1939       64             0.027463        0.036567        0.032074
1935-1939       65             0.030144        0.039813        0.035030
1935-1939       66             0.032974        0.043154        0.038108
1935-1939       67             0.035955        0.046559        0.041294
1935-1939       68             0.039102        0.050050        0.044604
1935-1939       69             0.042423        0.053611        0.048034
1935-1939       70             0.045992        0.057361        0.051679
1935-1939       71             0.050117        0.061790        0.055935
1935-1939       72             0.054979        0.067157        0.061023
1935-1939       73             0.060685        0.073571        0.067050
1935-1939       74             0.067370        0.081166        0.074151
1935-1939       75             0.073544        0.088280        0.080744
1935-1939       76             0.080716        0.096475        0.088375
1935-1939       77             0.088196        0.104975        0.096303
1935-1939       78             0.096155        0.113905        0.104679
1935-1939       79             0.104537        0.123102        0.113394
1935-1939       80             0.108233        0.129853        0.118330
1935-1939       81             0.117598        0.140073        0.128006
1935-1939       82             0.128379        0.151945        0.139186
1935-1939       83             0.140612        0.165416        0.151863
1935-1939       84             0.154015        0.180052        0.165681
1935-1939       85             0.168238        0.195371        0.180228
1935-1939       86             0.183216        0.211287        0.195440
1935-1939       87             0.198955        0.227801        0.211326
1935-1939       88             0.215075        0.244455        0.227480
1935-1939       89             0.230628        0.260368        0.242986
1935-1939       90             0.244299        0.274251        0.256542
1935-1939       91             0.256445        0.284885        0.267879
1935-1939       92             0.267179        0.291332        0.276741
1935-1939       93             0.275676        0.292850        0.282387
1935-1939       94             0.282689        0.293543        0.286887
1935-1939       95             0.291696        0.302663        0.295902
1935-1939       96             0.296160        0.308573        0.300879
