, Number of Deaths ,,,,,,,Rate (age-adjusted),,,,,,,Ranking of Rate,,,,,,
CONDITION, AIAN-NH , Asian-NH , Black-NH , Hisp , Multi-NH , NHPI-NH , White-NH ,AIAN-NH1,Asian-NH1,Black-NH1,Hisp1,Multi-NH1,NHPI-NH1,White-NH1,AsianRank,AIANRank,BlackRank,HispRank,NHPIRank,MUltiRank,WhiteRank
Mental Health disorders,, 42 , 41 , 97 ,,, 447 ,,0.2,0.6,0.3,,,0.7,48,49,48,49,49,51,47
Substance use, 209 , 493 ," 1,621 "," 3,976 ", 341 , 50 ," 10,570 ",37.3,2.9,21.1,9.0,13.8,10.7,20.7,33,2,13,20,26,7,9
Alzheimer’s disease and other dementias, 189 ," 6,436 "," 4,052 "," 10,301 ", 409 , 145 ," 52,141 ",30.7,33.2,63.8,42.6,23.9,49.0,65.2,3,5,2,2,3,2,2
Other neurological conditions, 60 ," 1,589 "," 1,034 "," 3,154 ", 154 , 47 ," 12,743 ",10.1,8.6,14.9,10.6,7.7,12.6,18.0,15,22,20,15,22,16,11
Digestive diseases (excluding cirrhosis), 79 ," 1,067 ", 839 ," 2,310 ", 107 , 42 ," 7,666 ",12.3,5.6,11.9,8.1,5.8,11.1,10.4,25,18,25,23,24,21,23
Kidney diseases, 151 ," 3,090 "," 2,413 "," 6,641 ", 210 , 182 ," 9,369 ",22.7,16.1,34.0,23.2,11.5,46.9,12.6,6,10,7,4,4,10,17
Cirrhosis of the liver, 235 ," 1,071 "," 1,049 "," 7,379 ", 217 , 54 ," 9,767 ",35.9,5.6,13.4,20.8,10.0,13.4,14.9,24,3,23,6,20,12,14
Congenital anomalies,, 232 , 214 ," 1,347 ", 76 ,," 1,144 ",,1.5,3.4,2.7,1.7,,2.5,40,50,41,38,50,40,41
Chronic obstructive pulmonary disease, 191 ," 2,314 "," 2,478 "," 3,870 ", 400 , 88 ," 29,868 ",29.1,12.1,34.7,15.1,23.2,26.3,39.6,10,6,6,10,8,3,3
Asthma,, 200 , 179 , 209 , 12 ,, 544 ,,1.1,2.6,0.6,0.5,,0.8,44,51,43,46,51,44,46
Other respiratory diseases, 65 ," 1,379 ", 657 ," 2,747 ", 104 , 51 ," 8,731 ",10.6,7.3,9.4,10.1,5.2,15.6,11.6,19,20,28,18,17,24,18
Other Chronic Conditions, 60 ," 1,202 ", 935 ," 2,411 ", 114 , 33 ," 7,874 ",9.3,6.3,13.6,8.3,5.9,8.4,10.5,21,25,22,22,28,20,22
Unintentional injuries, 177 ," 2,490 "," 1,943 "," 8,250 ", 398 , 82 ," 14,503 ",31.5,13.8,27.6,20.4,14.9,20.1,24.5,9,4,9,7,11,6,8
Suicide/Self-harm, 79 ," 1,114 ", 478 ," 2,692 ", 287 , 42 ," 8,064 ",14.4,6.6,6.8,5.9,10.3,8.9,15.5,20,14,32,28,27,11,13
Homicide/Interpersonal violence, 54 , 292 ," 1,490 "," 2,792 ", 114 , 34 ," 1,265 ",10.4,1.7,21.6,5.6,3.6,7.4,2.8,39,21,12,29,32,30,40
"Symptoms, signs and ill-defined conditions, not elsewhere classified", 36 , 198 , 407 , 919 , 74 , 18 ," 1,953 ",6.8,1.2,6.0,2.2,2.5,4.3,3.4,43,28,34,41,34,34,37
Unknown/Missing Value,, 44 , 37 , 100 ,,, 280 ,,0.2,0.5,0.3,,,0.4,49,52,49,48,52,52,48
