nameOnly,Asian-NH,Black-NH,Hisp,White-NH,AsianRank,BlackRank,HispRank,WhiteRank,Asian-NH1,Black-NH1,Hisp1,White-NH1,AsianRank1,BlackRank1,HispRank1,WhiteRank1,Aratio,Bratio,Hratio,Wratio,2003-2005.x,2015-2017.x,2003-2005.y,2015-2017.y,perChange
Alzheimer’s disease and other dementias,12010,7908,19120,103700,3,2,2,2,64.81,128.6,83.08,130.3,3,2,2,2,1,1.9842616880111092,1.2819009412127758,2.010492207992594,3096,7908,74.27,128.6,73.2
Other neurological conditions,3038,1846,5922,24650,16,23,18,11,17.14,27.01,20.66,35.43,15,22,16,10,1,1.575845974329055,1.20536756126021,2.0670945157526255,1290,1846,23.99,27.01,12.6
Digestive diseases (excluding cirrhosis),2038,1614,4510,15580,25,25,26,23,11.12,23.95,16.61,21.25,24,25,22,23,1,2.1537769784172665,1.4937050359712232,1.910971223021583,1712,1614,33.56,23.95,-28.6
Kidney diseases,5702,4852,12350,18890,6,6,6,15,30.93,70.3,45.19,25.7,6,6,4,17,1.2035019455252918,2.735408560311284,1.7583657587548638,1,1968,4852,38.42,70.3,83
Cirrhosis of the liver,2054,2150,14740,19900,24,20,5,14,11.06,27.75,43.31,30.53,25,21,5,14,1,2.5090415913200723,3.9159132007233275,2.7603978300180834,1792,2150,30.16,27.75,-8
Congenital anomalies,448,430,2858,2458,42,42,33,43,3.039,6.891,5.676,5.514,40,42,39,41,1,2.2675222112537017,1.8677196446199407,1.8144126357354393,568,430,9.012,6.891,-23.5
Chronic obstructive pulmonary disease,4604,4828,7434,60200,10,7,12,3,25.25,70.2,30.52,80.9,10,7,10,3,1,2.7801980198019804,1.2087128712871287,3.203960396039604,3614,4828,75.1,70.2,-6.5
Asthma,368,380,396,1142,43,44,46,46,2.004,5.509,1.161,1.744,44,43,46,46,1.7260981912144702,4.74504737295435,1,1.5021533161068044,444,380,7.206,5.509,-23.5
Other respiratory diseases,2686,1296,5280,17480,19,29,20,17,14.8,19.07,20.21,23.6,19,28,18,18,1,1.2885135135135135,1.3655405405405405,1.5945945945945945,844,1296,16.78,19.07,13.6
Other Chronic Conditions,2272,1766,4670,16140,20,24,25,21,12.42,26,16.84,21.81,21,23,21,21,1,2.0933977455716586,1.355877616747182,1.756038647342995,1888,1766,37.77,26,-31.2
Unintentional injuries,4814,3626,15690,28710,9,10,4,8,27.42,51.99,39.87,48.81,9,10,7,8,1,1.8960612691466083,1.4540481400437635,1.7800875273522976,3536,3626,56.34,51.99,-7.7
Suicide/Self-harm,2144,912,4964,16280,23,32,22,19,12.87,13.1,11.01,31.17,20,33,31,13,1.1689373297002725,1.189827429609446,1,2.831062670299728,776,912,11.73,13.1,11.7
Homicide/Interpersonal violence,582,3230,5606,2600,39,11,19,42,3.496,46.72,11.36,5.75,39,11,28,39,1,13.363844393592677,3.249427917620137,1.644736842105263,4550,3230,65.33,46.72,-28.5
"Symptoms, signs and ill-defined conditions, not elsewhere classified",356,700,1488,3290,44,35,40,40,2.172,10.21,3.589,5.736,43,35,42,40,1,4.7007366482504604,1.6523941068139962,2.640883977900552,616,700,9.763,10.21,4.6
Unknown/Missing Value,,,,22,52,52,52,52,,,,0.03812,52,52,52,52,,,,1,30,,0.498,,
