ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,GEOID,geotypevalue06,geoname,county,county_fips,region_name,region_code,Poverty,TotalPop,NumPov,percent,LL_95CI_percent,UL_95CI_percent,percent_SE,percent_RSE,place_decile,CA_RR,ConcentratedCT,version_pov
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001402800,06001402800,4028.00,Alameda,06001,,,Overall,2137,829.156,38.8,29.0297872,48.5702128,4.9848024,12.8474289,,2.8321168,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001402900,06001402900,4029.00,Alameda,06001,,,Overall,1036,293.188,28.3,16.0276596,40.5723404,6.2613982,22.1250819,,2.0656934,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403000,06001403000,4030.00,Alameda,06001,,,Overall,2434,484.366,19.9,10.8446809,28.9553191,4.6200608,23.2163859,,1.4525547,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403100,06001403100,4031.00,Alameda,06001,,,Overall,1184,355.2,30,10.9361702,49.0638298,9.7264438,32.4214792,,2.189781,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403300,06001403300,4033.00,Alameda,06001,,,Overall,4194,775.89,18.5,11.7085106,25.2914894,3.4650456,18.7299762,,1.350365,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403400,06001403400,4034.00,Alameda,06001,,,Overall,4304,563.824,13.1,8.3340426,17.8659574,2.4316109,18.5619156,,0.9562044,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403501,06001403501,4035.01,Alameda,06001,,,Overall,4340,1167.46,26.9,15.7,38.1,5.7142857,21.2426978,,1.9635036,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403502,06001403502,4035.02,Alameda,06001,,,Overall,2016,175.392,8.7,2.5042553,14.8957447,3.1610942,36.3344164,,0.6350365,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403600,06001403600,4036.00,Alameda,06001,,,Overall,4816,288.96,6,2.9021277,9.0978723,1.5805471,26.3424519,,0.4379562,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403701,06001403701,4037.01,Alameda,06001,,,Overall,2278,343.978,15.1,9.0234043,21.1765957,3.100304,20.5318142,,1.1021898,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403702,06001403702,4037.02,Alameda,06001,,,Overall,1915,139.795,7.3,1.5808511,13.0191489,2.9179331,39.9716867,,0.5328467,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403800,06001403800,4038.00,Alameda,06001,,,Overall,3790,231.19,6.1,2.5255319,9.6744681,1.8237082,29.8968558,,0.4452555,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403900,06001403900,4039.00,Alameda,06001,,,Overall,3804,163.572,4.3,1.6787234,6.9212766,1.337386,31.1020004,,0.3138686,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404000,06001404000,4040.00,Alameda,06001,,,Overall,2732,256.808,9.4,4.0382979,14.7617021,2.7355623,29.1017267,,0.6861314,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404101,06001404101,4041.01,Alameda,06001,,,Overall,2979,259.173,8.7,3.2191489,14.1808511,2.7963526,32.1419837,,0.6350365,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404102,06001404102,4041.02,Alameda,06001,,,Overall,2451,191.178,7.8,1.1276596,14.4723404,3.4042553,43.644299,,0.5693431,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404200,06001404200,4042.00,Alameda,06001,,,Overall,3271,104.672,3.2,0,6.7744681,1.8237082,56.9908815,,0.2335766,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404300,06001404300,4043.00,Alameda,06001,,,Overall,3197,38.364,1.2,0,2.5106383,0.668693,55.7244174,,0.0875912,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404400,06001404400,4044.00,Alameda,06001,,,Overall,5391,64.692,1.2,0,2.6297872,0.7294833,60.7902736,,0.0875912,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404501,06001404501,4045.01,Alameda,06001,,,Overall,1702,32.338,1.9,0,5.3553191,1.7629179,92.7851544,,0.1386861,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404502,06001404502,4045.02,Alameda,06001,,,Overall,5858,175.74,3,0.2595745,5.7404255,1.3981763,46.6058764,,0.2189781,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404600,06001404600,4046.00,Alameda,06001,,,Overall,4525,67.875,1.5,0.1893617,2.8106383,0.668693,44.5795339,,0.1094891,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404700,06001404700,4047.00,Alameda,06001,,,Overall,2026,52.676,2.6,0.2170213,4.9829787,1.2158055,46.7617489,,0.189781,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404800,06001404800,4048.00,Alameda,06001,,,Overall,2551,288.263,11.3,5.8191489,16.7808511,2.7963526,24.746483,,0.8248175,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404900,06001404900,4049.00,Alameda,06001,,,Overall,4412,163.244,3.7,1.4361702,5.9638298,1.1550152,31.216627,,0.270073,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405000,06001405000,4050.00,Alameda,06001,,,Overall,3244,100.564,3.1,1.312766,4.887234,0.9118541,29.4146485,,0.2262774,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405100,06001405100,4051.00,Alameda,06001,,,Overall,4295,90.195,2.1,0.312766,3.887234,0.9118541,43.421624,,0.1532847,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405200,06001405200,4052.00,Alameda,06001,,,Overall,4390,412.66,9.4,3.9191489,14.8808511,2.7963526,29.7484317,,0.6861314,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405301,06001405301,4053.01,Alameda,06001,,,Overall,2839,377.587,13.3,3.4106383,23.1893617,5.0455927,37.9367873,,0.9708029,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405302,06001405302,4053.02,Alameda,06001,,,Overall,2780,1117.56,40.2,28.7617021,51.6382979,5.8358663,14.5170803,,2.9343066,yes,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405401,06001405401,4054.01,Alameda,06001,,,Overall,3782,892.552,23.6,12.1617021,35.0382979,5.8358663,24.7282469,,1.7226277,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405402,06001405402,4054.02,Alameda,06001,,,Overall,2834,612.144,21.6,8.7319149,34.4680851,6.5653495,30.3951368,,1.5766423,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405500,06001405500,4055.00,Alameda,06001,,,Overall,3497,538.538,15.4,7.0595745,23.7404255,4.2553191,27.6319425,,1.1240876,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405600,06001405600,4056.00,Alameda,06001,,,Overall,2988,588.636,19.7,8.5,30.9,5.7142857,29.0065265,,1.4379562,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405700,06001405700,4057.00,Alameda,06001,,,Overall,3151,557.727,17.7,6.0234043,29.3765957,5.9574468,33.6578916,,1.2919708,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405800,06001405800,4058.00,Alameda,06001,,,Overall,3733,1086.303,29.1,19.806383,38.393617,4.7416413,16.2943001,,2.1240876,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405901,06001405901,4059.01,Alameda,06001,,,Overall,3841,1271.371,33.1,19.5170213,46.6829787,6.9300912,20.9368314,,2.4160584,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001405902,06001405902,4059.02,Alameda,06001,,,Overall,2892,555.264,19.2,8.1191489,30.2808511,5.6534954,29.4452888,,1.4014599,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406000,06001406000,4060.00,Alameda,06001,,,Overall,3223,1047.475,32.5,20.1085106,44.8914894,6.3221884,19.4528875,,2.3722628,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406100,06001406100,4061.00,Alameda,06001,,,Overall,3359,695.313,20.7,8.7851064,32.6148936,6.0790274,29.3672819,,1.5109489,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406201,06001406201,4062.01,Alameda,06001,,,Overall,5579,2064.23,37,26.6340426,47.3659574,5.2887538,14.2939292,,2.7007299,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406202,06001406202,4062.02,Alameda,06001,,,Overall,4277,1753.57,41,27.893617,54.106383,6.6869301,16.3095856,,2.9927007,yes,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406300,06001406300,4063.00,Alameda,06001,,,Overall,4181,593.702,14.2,6.9319149,21.4680851,3.7082067,26.1141316,,1.0364964,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406400,06001406400,4064.00,Alameda,06001,,,Overall,2469,701.196,28.4,14.8170213,41.9829787,6.9300912,24.4017295,,2.0729927,no,1/22/2014 12:04
