TRACT,STATE_FIPS,CNTY_FIPS,TRACT_CODE,GEOID,COUNTY,TRACT_ID,MSSA_ID,MSSA_NAME,AREA_SQMI,POP2000,POP2000CIV,POP100POV,PCT100POV,POP200POV,PCT200POV,WHITE,PCT_WHITE,BLACK,PCT_BLACK,ASIAN,PCT_ASIAN,AMIND_ESK,PCT_AMIND,ISLANDER,PCT_ISLAND,OTHER_RACE,PCT_OTHER,MULTI_RACE,PCT_MULTI,HISPANIC,PCT_HSPNC,AGE_UNDER5,PCT_UNDER5,AGE_UNDR18,PCT_UNDR18,AGE_18_64,PCT_18_64,AGE_65OVER,PCT_65OVER,ELD_RATIO,YTH_RATIO
4309,6,1,430900,6001430900,Alameda,4309,2f,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,0.425,4667,4552,410,8.8,965,20.7,3298,70.7,222,4.8,470,10.1,64,1.4,40,0.9,279,6,294,6.3,865,18.5,288,6.2,1051,22.5,2938,63,678,14.5,0.23,0.36
4352,6,1,435200,6001435200,Alameda,4352,2f,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,0.918,4198,4129,387,9.2,795,18.9,1807,43,1266,30.2,483,11.5,26,0.6,55,1.3,264,6.3,297,7.1,620,14.8,252,6,1073,25.6,2759,65.7,366,8.7,0.13,0.39
4351.02,6,1,435102,6001435102,Alameda,4351.02,2f,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,1.582,5031,5031,422,8.4,736,14.6,2616,52,786,15.6,1082,21.5,21,0.4,44,0.9,155,3.1,327,6.5,518,10.3,231,4.6,859,17.1,3838,76.3,334,6.6,0.09,0.22
4401,6,1,440100,6001440100,Alameda,4401,2f,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,10.69,2283,2253,196,8.6,317,13.9,1058,46.3,256,11.2,580,25.4,12,0.5,17,0.7,179,7.8,181,7.9,351,15.4,148,6.5,518,22.7,1418,62.1,347,15.2,0.24,0.37
4403.09,6,1,440309,6001440309,Alameda,4403.09,2f,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,1.235,7009,7009,341,4.9,1049,15,2073,29.6,493,7,3225,46,40,0.6,21,0.3,681,9.7,476,6.8,1308,18.7,552,7.9,1738,24.8,4861,69.4,410,5.8,0.08,0.36
4373,6,1,437300,6001437300,Alameda,4373,2g,San Leandro West/San Lorenzo West/Hayward West,0.396,3270,3270,170,5.2,536,16.4,1229,37.6,341,10.4,814,24.9,34,1,94,2.9,462,14.1,296,9.1,934,28.6,234,7.2,985,30.1,1975,60.4,310,9.5,0.16,0.5
4360,6,1,436000,6001436000,Alameda,4360,2g,San Leandro West/San Lorenzo West/Hayward West,0.511,4252,4252,159,3.7,465,10.9,3024,71.1,67,1.6,402,9.5,38,0.9,12,0.3,457,10.7,252,5.9,1072,25.2,251,5.9,1111,26.1,2504,58.9,637,15,0.25,0.44
4361,6,1,436100,6001436100,Alameda,4361,2g,San Leandro West/San Lorenzo West/Hayward West,0.478,4873,4873,407,8.4,1048,21.5,2934,60.2,194,4,752,15.4,44,0.9,36,0.7,609,12.5,304,6.2,1349,27.7,299,6.1,1249,25.6,2867,58.8,757,15.5,0.26,0.44
4370,6,1,437000,6001437000,Alameda,4370,2g,San Leandro West/San Lorenzo West/Hayward West,0.616,3430,3430,184,5.4,473,13.8,1608,46.9,343,10,696,20.3,27,0.8,55,1.6,386,11.3,315,9.2,792,23.1,207,6,800,23.3,2160,63,470,13.7,0.22,0.37
4372,6,1,437200,6001437200,Alameda,4372,2g,San Leandro West/San Lorenzo West/Hayward West,0.996,6239,6157,444,7.1,1210,19.4,2612,41.9,588,9.4,1957,31.4,29,0.5,106,1.7,565,9.1,382,6.1,1173,18.8,378,6.1,1399,22.4,3908,62.6,932,14.9,0.24,0.36
4324,6,1,432400,6001432400,Alameda,4324,2g,San Leandro West/San Lorenzo West/Hayward West,3.247,5411,5411,439,8.1,1233,22.8,2709,50.1,394,7.3,1108,20.5,55,1,69,1.3,753,13.9,323,6,1605,29.7,400,7.4,1440,26.6,3413,63.1,558,10.3,0.16,0.42
4325,6,1,432500,6001432500,Alameda,4325,2g,San Leandro West/San Lorenzo West/Hayward West,0.823,8676,8676,511,5.9,1530,17.6,3415,39.4,750,8.6,2652,30.6,97,1.1,132,1.5,1054,12.1,576,6.6,2254,26,676,7.8,2250,25.9,5348,61.6,1078,12.4,0.2,0.42
4332,6,1,433200,6001433200,Alameda,4332,2g,San Leandro West/San Lorenzo West/Hayward West,1.252,6562,6436,380,5.8,1191,18.1,2997,45.7,757,11.5,1880,28.6,33,0.5,44,0.7,454,6.9,397,6,1103,16.8,393,6,1316,20.1,4083,62.2,1163,17.7,0.28,0.32
4333,6,1,433300,6001433300,Alameda,4333,2g,San Leandro West/San Lorenzo West/Hayward West,0.995,6635,6613,424,6.4,1052,15.9,3695,55.7,188,2.8,1774,26.7,63,0.9,55,0.8,556,8.4,304,4.6,1372,20.7,380,5.7,1609,24.3,3805,57.3,1221,18.4,0.32,0.42
4334,6,1,433400,6001433400,Alameda,4334,2g,San Leandro West/San Lorenzo West/Hayward West,3.707,6014,6014,145,2.4,644,10.7,2284,38,412,6.9,2832,47.1,23,0.4,30,0.5,170,2.8,263,4.4,548,9.1,405,6.7,1224,20.4,3819,63.5,971,16.1,0.25,0.32
4336,6,1,433600,6001433600,Alameda,4336,2g,San Leandro West/San Lorenzo West/Hayward West,0.567,5901,5901,327,5.5,1157,19.6,3045,51.6,462,7.8,1556,26.4,49,0.8,50,0.8,377,6.4,362,6.1,976,16.5,341,5.8,1406,23.8,3588,60.8,907,15.4,0.25,0.39
4335,6,1,433500,6001433500,Alameda,4335,2g,San Leandro West/San Lorenzo West/Hayward West,0.48,4092,4092,203,5,539,13.2,2425,59.3,100,2.4,1019,24.9,32,0.8,53,1.3,282,6.9,181,4.4,707,17.3,234,5.7,950,23.2,2308,56.4,834,20.4,0.36,0.41
4358,6,1,435800,6001435800,Alameda,4358,2g,San Leandro West/San Lorenzo West/Hayward West,0.518,5034,5034,294,5.8,877,17.4,3031,60.2,151,3,982,19.5,46,0.9,23,0.5,526,10.4,275,5.5,1259,25,340,6.8,1347,26.8,3087,61.3,600,11.9,0.19,0.44
4359,6,1,435900,6001435900,Alameda,4359,2g,San Leandro West/San Lorenzo West/Hayward West,0.924,4817,4811,145,3,628,13,3041,63.1,92,1.9,954,19.8,35,0.7,25,0.5,333,6.9,337,7,848,17.6,252,5.2,1105,22.9,2779,57.7,933,19.4,0.34,0.4
4371,6,1,437100,6001437100,Alameda,4371,2g,San Leandro West/San Lorenzo West/Hayward West,37.632,8721,8721,560,6.4,2013,23.1,2802,32.1,849,9.7,2812,32.2,67,0.8,235,2.7,1253,14.4,703,8.1,2176,25,627,7.2,2245,25.7,5486,62.9,990,11.4,0.18,0.41
4383,6,1,438300,6001438300,Alameda,4383,2g,San Leandro West/San Lorenzo West/Hayward West,0.329,3759,3759,248,6.6,570,15.2,965,25.7,332,8.8,1173,31.2,58,1.5,163,4.3,780,20.8,288,7.7,1293,34.4,257,6.8,1091,29,2327,61.9,341,9.1,0.15,0.47
4384,6,1,438400,6001438400,Alameda,4384,2g,San Leandro West/San Lorenzo West/Hayward West,0.673,2254,2198,119,5.3,285,12.6,1101,48.8,137,6.1,576,25.6,30,1.3,22,1,240,10.6,148,6.6,574,25.5,142,6.3,559,24.8,1329,59,366,16.2,0.28,0.42
4094,6,1,409400,6001409400,Alameda,4094,2h,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,0.484,4455,4455,1133,25.4,2548,57.2,858,19.3,1927,43.3,52,1.2,27,0.6,72,1.6,1308,29.4,211,4.7,2255,50.6,455,10.2,1563,35.1,2610,58.6,282,6.3,0.11,0.6
