year,county,Ndeaths,GEOID
2005,Alameda,18,6001435103
2005,Alameda,10,6001435104
2005,Alameda,27,6001435200
2005,Alameda,48,6001435300
2005,Alameda,55,6001435400
2005,Alameda,41,6001435500
2005,Alameda,36,6001435601
2005,Alameda,24,6001435602
2005,Alameda,36,6001435700
2005,Alameda,36,6001435800
2005,Alameda,47,6001435900
2005,Alameda,28,6001436000
2005,Alameda,37,6001436100
2005,Alameda,22,6001436200
2005,Alameda,31,6001436300
2005,Alameda,59,6001436401
2005,Alameda,21,6001436402
2005,Alameda,19,6001436500
2005,Alameda,32,6001436601
2005,Alameda,18,6001436602
2005,Alameda,14,6001436700
2005,Alameda,23,6001436800
2005,Alameda,30,6001436900
2005,Alameda,32,6001437000
2005,Alameda,34,6001437101
2005,Alameda,23,6001437102
2005,Alameda,58,6001437200
2005,Alameda,20,6001437300
2005,Alameda,23,6001437400
2005,Alameda,36,6001437500
2005,Alameda,43,6001437600
2005,Alameda,9,6001437701
2005,Alameda,5,6001437702
2005,Alameda,23,6001437800
2005,Alameda,5,6001437900
2005,Alameda,21,6001438000
2005,Alameda,48,6001438100
2005,Alameda,32,6001438201
2005,Alameda,30,6001438203
2005,Alameda,46,6001438204
2005,Alameda,22,6001438300
2005,Alameda,18,6001438400
2005,Alameda,47,6001440100
2005,Alameda,38,6001440200
2005,Alameda,37,6001440301
2005,Alameda,18,6001440304
2005,Alameda,20,6001440305
2005,Alameda,12,6001440306
2005,Alameda,36,6001440307
2005,Alameda,33,6001440308
2005,Alameda,14,6001440331
2005,Alameda,9,6001440332
2005,Alameda,10,6001440333
2005,Alameda,18,6001440334
2005,Alameda,7,6001440335
2005,Alameda,19,6001440336
2005,Alameda,34,6001441100
2005,Alameda,37,6001441200
2005,Alameda,4,6001441301
2005,Alameda,24,6001441302
2005,Alameda,27,6001441401
2005,Alameda,16,6001441402
2005,Alameda,16,6001441501
2005,Alameda,6,6001441503
2005,Alameda,28,6001441521
2005,Alameda,16,6001441522
2005,Alameda,7,6001441523
2005,Alameda,4,6001441524
2005,Alameda,12,6001441601
2005,Alameda,39,6001441602
2005,Alameda,35,6001441700
2005,Alameda,33,6001441800
2005,Alameda,6,6001441921
2005,Alameda,43,6001441923
2005,Alameda,14,6001441924
2005,Alameda,6,6001441925
2005,Alameda,10,6001441926
2005,Alameda,32,6001441927
2005,Alameda,12,6001442000
2005,Alameda,19,6001442100
2005,Alameda,31,6001442200
2005,Alameda,20,6001442301
2005,Alameda,20,6001442302
2005,Alameda,36,6001442400
2005,Alameda,52,6001442500
2005,Alameda,28,6001442601
2005,Alameda,25,6001442602
2005,Alameda,21,6001442700
2005,Alameda,18,6001442800
2005,Alameda,28,6001442900
2005,Alameda,14,6001443001
2005,Alameda,33,6001443002
2005,Alameda,11,6001443102
2005,Alameda,20,6001443103
2005,Alameda,15,6001443104
2005,Alameda,7,6001443105
2005,Alameda,7,6001443200
2005,Alameda,9,6001443301
2005,Alameda,8,6001443321
2005,Alameda,9,6001443322
2005,Alameda,56,6001444100
2005,Alameda,25,6001444200
2005,Alameda,21,6001444301
2005,Alameda,9,6001444302
2005,Alameda,24,6001444400
2005,Alameda,33,6001444500
2005,Alameda,23,6001444601
2005,Alameda,15,6001444602
2005,Alameda,5,6001450101
2005,Alameda,7,6001450102
2005,Alameda,7,6001450200
2005,Alameda,22,6001450300
2005,Alameda,36,6001450400
2005,Alameda,10,6001450501
2005,Alameda,12,6001450502
2005,Alameda,13,6001450601
2005,Alameda,31,6001450602
2005,Alameda,19,6001450603
2005,Alameda,20,6001450604
2005,Alameda,22,6001450605
2005,Alameda,20,6001450606
2005,Alameda,24,6001450607
2005,Alameda,26,6001450701
2005,Alameda,26,6001450741
2005,Alameda,32,6001450742
2005,Alameda,9,6001450743
2005,Alameda,16,6001450744
2005,Alameda,11,6001450745
2005,Alameda,20,6001450746
2005,Alameda,2,6001450750
2005,Alameda,12,6001450752
2005,Alameda,24,6001451101
2005,Alameda,17,6001451102
2005,Alameda,29,6001451201
2005,Alameda,8,6001451202
2005,Alameda,27,6001451300
2005,Alameda,22,6001451401
2005,Alameda,14,6001451403
2005,Alameda,17,6001451404
2005,Alameda,27,6001451501
2005,Alameda,25,6001451503
2005,Alameda,4,6001451504
2005,Alameda,6,6001451505
2005,Alameda,4,6001451506
2005,Alameda,14,6001451601
2005,Alameda,72,6001451602
2005,Alameda,13,6001451701
2005,Alameda,10,6001451703
2005,Alameda,22,6001451704
2005,Alameda,1,6001982000
2005,Alameda,4,6001983200
2005,Alpine,3,6003010000
2005,Amador,47,6005000101
2005,Amador,20,6005000102
2005,Amador,43,6005000200
2005,Amador,24,6005000301
2005,Amador,40,6005000303
2005,Amador,44,6005000304
2005,Amador,78,6005000401
2005,Amador,61,6005000402
2005,Amador,29,6005000500
2005,Butte,36,6007000102
2005,San Bernardino,1,6007000102
2005,Butte,6,6007000103
2005,Butte,45,6007000104
2005,Butte,18,6007000201
2005,Butte,41,6007000202
2005,San Bernardino,1,6007000202
2005,Butte,54,6007000300
2005,San Bernardino,1,6007000300
2005,Butte,2,6007000401
2005,Butte,69,6007000402
2005,Butte,22,6007000501
2005,Butte,8,6007000502
2005,Butte,15,6007000601
2005,Butte,9,6007000603
2005,Butte,6,6007000604
2005,Butte,37,6007000700
2005,Butte,42,6007000800
2005,Butte,9,6007000901
2005,Butte,51,6007000903
2005,Butte,66,6007000904
2005,Butte,24,6007001000
2005,Butte,19,6007001100
2005,Butte,11,6007001200
2005,Butte,24,6007001300
2005,Butte,37,6007001400
2005,Butte,38,6007001500
2005,Butte,27,6007001600
2005,Butte,72,6007001702
2005,Butte,43,6007001703
2005,Butte,41,6007001704
2005,Butte,95,6007001800
2005,Butte,74,6007001900
2005,Butte,77,6007002000
2005,Butte,62,6007002100
2005,Butte,81,6007002200
2005,Butte,71,6007002300
2005,Butte,43,6007002400
2005,Yuba,1,6007002400
2005,Butte,24,6007002500
2005,Butte,34,6007002601
2005,Butte,51,6007002602
2005,Butte,77,6007002700
2005,Butte,53,6007002800
2005,Butte,30,6007002900
2005,Butte,50,6007003001
2005,Butte,28,6007003002
2005,Butte,60,6007003100
2005,Butte,42,6007003200
2005,Butte,44,6007003300
2005,Butte,32,6007003400
2005,Butte,28,6007003501
2005,Butte,44,6007003502
2005,Butte,27,6007003600
2005,Butte,43,6007003700
2005,Calaveras,30,6009000120
2005,Calaveras,26,6009000121
2005,Calaveras,29,6009000122
2005,Calaveras,45,6009000210
2005,Calaveras,31,6009000220
2005,Calaveras,77,6009000300
2005,Calaveras,35,6009000400
2005,NA,1,6009000400
2005,Calaveras,17,6009000501
2005,Calaveras,17,6009000503
2005,Calaveras,5,6009000504
2005,Colusa,13,6011000100
2005,Colusa,44,6011000200
2005,Colusa,25,6011000300
2005,Colusa,16,6011000400
2005,San Mateo,2,6011000400
2005,Colusa,20,6011000500
2005,Contra Costa,34,6013301000
2005,Contra Costa,35,6013302005
2005,Contra Costa,17,6013302006
2005,Contra Costa,34,6013302007
2005,Contra Costa,25,6013302008
2005,Contra Costa,10,6013302009
2005,Contra Costa,34,6013302010
2005,Contra Costa,12,6013303102
2005,Contra Costa,33,6013303103
2005,Contra Costa,33,6013303201
2005,Contra Costa,20,6013303202
2005,Contra Costa,38,6013303203
2005,Contra Costa,41,6013303204
2005,Contra Costa,67,6013303205
2005,Contra Costa,4,6013304001
2005,Contra Costa,8,6013304002
2005,Contra Costa,15,6013304003
2005,Contra Costa,17,6013304004
2005,Contra Costa,7,6013304005
2005,Contra Costa,36,6013305000
2005,Contra Costa,23,6013306002
2005,Contra Costa,55,6013306003
2005,Contra Costa,23,6013306004
2005,Contra Costa,41,6013307101
2005,Contra Costa,38,6013307102
2005,Contra Costa,22,6013307201
2005,Contra Costa,16,6013307202
2005,Contra Costa,26,6013307204
2005,Contra Costa,36,6013307205
2005,Contra Costa,50,6013308001
2005,Contra Costa,17,6013308002
2005,Contra Costa,14,6013309000
2005,Contra Costa,29,6013310000
2005,Contra Costa,25,6013311000
2005,Contra Costa,17,6013312000
2005,Contra Costa,68,6013313101
2005,Contra Costa,19,6013313102
2005,Contra Costa,35,6013313103
2005,Contra Costa,8,6013313203
