comID,yearG,sex,CAUSE,Ndeaths,YLL,mean.age,Level,county,pop,YLLper,cDeathRate,rateLCI,rateUCI,comName,oDeaths,aRate,aLCI,aUCI,aSE,YLL.adj.rate
156e,2013-2017,Total,D01,88,684,71.08,lev2,San Diego,140300,97.52,12.55,9.925,15.17,Escondido Central and South/San Marcos Central and East,88,13.9,11.11,17.22,1.505,103.6
156e,2013-2017,Total,D10,109,679,74.5,lev2,San Diego,140300,96.81,15.54,12.62,18.46,Escondido Central and South/San Marcos Central and East,109,16.33,13.35,19.82,1.595,100.4
156e,2013-2017,Total,E02,78,1948,51.28,lev2,San Diego,140300,277.7,11.12,8.653,13.59,Escondido Central and South/San Marcos Central and East,78,11.93,9.404,14.98,1.368,287.3
156e,2013-2017,Total,E03,20,800,35,lev2,San Diego,140300,114.1,2.852,1.602,4.101,Escondido Central and South/San Marcos Central and East,20,2.711,1.643,4.297,0.6149,104.6
156f,2013-2017,Total,0,3895,20420,78.1,lev0,San Diego,104400,3910,745.9,722.5,769.3,Escondido East/Hidden Meadows/Poway North,3895,530.2,513.3,547.7,8.714,3645
156f,2013-2017,Total,D01,67,311,77.31,lev2,San Diego,104400,59.56,12.83,9.758,15.9,Escondido East/Hidden Meadows/Poway North,67,8.806,6.803,11.38,1.089,41.64
156f,2013-2017,Total,D10,39,140,78.21,lev2,San Diego,104400,26.81,7.468,5.125,9.812,Escondido East/Hidden Meadows/Poway North,39,5.281,3.737,7.421,0.8568,18.7
156f,2013-2017,Total,E02,61,1547,51.31,lev2,San Diego,104400,296.2,11.68,8.75,14.61,Escondido East/Hidden Meadows/Poway North,61,10.72,8.112,13.99,1.426,314.9
156f,2013-2017,Total,E03,13,457,40.46,lev2,San Diego,104400,87.52,2.489,1.136,3.843,Escondido East/Hidden Meadows/Poway North,13,2.78,1.459,4.857,0.7863,102
157,2013-2017,Total,0,528,3543,74.52,lev0,San Diego,19410,3651,544.1,497.7,590.5,Dulzura/Engineer Springs/Indian Springs/Jamacha/Jamul,528,635.5,578.9,697.1,29.52,3500
