GEOID,COUNTYFP,ALAND,AWATER,GEOID_0,county
6001408500,1,831360,0,06001408500,Alameda
6001409500,1,836612,0,06001409500,Alameda
6001409700,1,811304,0,06001409700,Alameda
6001410000,1,6562265,145283,06001410000,Alameda
6001420500,1,416291,0,06001420500,Alameda
6001421100,1,745510,0,06001421100,Alameda
6001421900,1,855101,0,06001421900,Alameda
6001423200,1,456778,0,06001423200,Alameda
6001423400,1,755443,0,06001423400,Alameda
6001424001,1,507529,0,06001424001,Alameda
6001425104,1,1088891,0,06001425104,Alameda
6001426200,1,1358211,0,06001426200,Alameda
6001427700,1,999309,710016,06001427700,Alameda
6001428400,1,810521,1168052,06001428400,Alameda
6001430102,1,76806912,3505953,06001430102,Alameda
6001430300,1,2963569,234375,06001430300,Alameda
6001430800,1,1806090,0,06001430800,Alameda
6001432100,1,1105772,0,06001432100,Alameda
6001432200,1,1023816,0,06001432200,Alameda
6001432501,1,1362361,0,06001432501,Alameda
6001432700,1,828606,0,06001432700,Alameda
6001432800,1,3869517,0,06001432800,Alameda
6001433000,1,1323523,0,06001433000,Alameda
6001433200,1,3174901,0,06001433200,Alameda
6001433300,1,2455576,0,06001433300,Alameda
6001433400,1,5474774,2188972,06001433400,Alameda
6001433700,1,1311722,0,06001433700,Alameda
6001434000,1,1208790,0,06001434000,Alameda
6001435300,1,1288756,0,06001435300,Alameda
6001400100,1,6894340,0,06001400100,Alameda
6001400300,1,1105328,0,06001400300,Alameda
6001400500,1,590307,0,06001400500,Alameda
6001400700,1,880302,0,06001400700,Alameda
6001401000,1,1147049,0,06001401000,Alameda
6001401100,1,883273,0,06001401100,Alameda
6001435601,1,945534,0,06001435601,Alameda
6001436000,1,1315446,0,06001436000,Alameda
6001401300,1,858458,0,06001401300,Alameda
6001401600,1,636068,0,06001401600,Alameda
6001401700,1,5744704,5759028,06001401700,Alameda
6001403100,1,346852,0,06001403100,Alameda
6001403501,1,668430,0,06001403501,Alameda
6001403600,1,389778,0,06001403600,Alameda
6001404200,1,2724001,0,06001404200,Alameda
6001436402,1,4262228,0,06001436402,Alameda
6001437500,1,633556,0,06001437500,Alameda
6001437701,1,484105,0,06001437701,Alameda
6001438204,1,1489859,0,06001438204,Alameda
6001440301,1,4286107,0,06001440301,Alameda
6001440332,1,2276490,0,06001440332,Alameda
6001441100,1,15151115,0,06001441100,Alameda
6001441402,1,1634514,0,06001441402,Alameda
6001441602,1,1682082,0,06001441602,Alameda
6001441924,1,2184640,0,06001441924,Alameda
6001442100,1,1824957,0,06001442100,Alameda
6001403000,1,352394,0,06001403000,Alameda
6001451506,1,851132,0,06001451506,Alameda
6001451602,1,3013437,0,06001451602,Alameda
6001401800,1,298634,0,06001401800,Alameda
6001402200,1,712081,0,06001402200,Alameda
6001402800,1,398312,0,06001402800,Alameda
6001403300,1,917192,96764,06001403300,Alameda
6001403400,1,665991,602434,06001403400,Alameda
6001403900,1,493102,0,06001403900,Alameda
6001404101,1,571739,0,06001404101,Alameda
6001404300,1,1827344,25272,06001404300,Alameda
6001404502,1,3071448,0,06001404502,Alameda
6001404700,1,1200169,0,06001404700,Alameda
6001405000,1,800378,0,06001405000,Alameda
6001405200,1,858122,0,06001405200,Alameda
6001405500,1,411721,0,06001405500,Alameda
6001405700,1,546860,0,06001405700,Alameda
6001406100,1,1843703,74875,06001406100,Alameda
6001406201,1,408074,0,06001406201,Alameda
6001406500,1,745044,0,06001406500,Alameda
6001437600,1,818977,0,06001437600,Alameda
6001437702,1,371488,0,06001437702,Alameda
6001438000,1,2432814,0,06001438000,Alameda
6001438203,1,5275378,0,06001438203,Alameda
6001440100,1,27678385,0,06001440100,Alameda
6001440200,1,1160876,0,06001440200,Alameda
6001440304,1,977967,0,06001440304,Alameda
6001440333,1,2512792,0,06001440333,Alameda
6001440334,1,1025588,0,06001440334,Alameda
6001441200,1,3241561,11692,06001441200,Alameda
6001441301,1,3293445,0,06001441301,Alameda
6001441524,1,1680736,0,06001441524,Alameda
6001441700,1,2229701,0,06001441700,Alameda
6001441923,1,1506725,0,06001441923,Alameda
6001441927,1,650133,0,06001441927,Alameda
6001442000,1,8128082,0,06001442000,Alameda
6001442200,1,4209171,0,06001442200,Alameda
6001442601,1,1181580,0,06001442601,Alameda
6001442800,1,1278647,0,06001442800,Alameda
6001443103,1,15523424,0,06001443103,Alameda
6001443105,1,3289424,0,06001443105,Alameda
6001451501,1,5051296,0,06001451501,Alameda
6001451504,1,3247420,0,06001451504,Alameda
6001451701,1,1222738,0,06001451701,Alameda
6001981900,1,3741388,1420107,06001981900,Alameda
6001428100,1,994804,38330,06001428100,Alameda
6001428301,1,4297936,1597302,06001428301,Alameda
6001428500,1,624197,383522,06001428500,Alameda
6001428700,1,7749248,4534587,06001428700,Alameda
6001430200,1,5329272,0,06001430200,Alameda
6001430400,1,2404654,508362,06001430400,Alameda
6001430500,1,2607356,0,06001430500,Alameda
6001431200,1,2021149,26007,06001431200,Alameda
6001433900,1,816585,0,06001433900,Alameda
6001435102,1,4225669,0,06001435102,Alameda
6001451101,1,553036677,5587053,06001451101,Alameda
6001451102,1,4777526,0,06001451102,Alameda
6001451403,1,674529,0,06001451403,Alameda
6001435103,1,51788299,0,06001435103,Alameda
6001435200,1,2269715,61591,06001435200,Alameda
6001435800,1,1303188,0,06001435800,Alameda
6001435900,1,2411352,17052,06001435900,Alameda
6001436200,1,644506,0,06001436200,Alameda
6001436500,1,1964171,0,06001436500,Alameda
6001436700,1,798274,0,06001436700,Alameda
6001437000,1,1597254,0,06001437000,Alameda
6001437102,1,870005,0,06001437102,Alameda
6001406700,1,1683727,0,06001406700,Alameda
6001406900,1,873127,0,06001406900,Alameda
6001407102,1,660863,0,06001407102,Alameda
6001407300,1,2370917,209265,06001407300,Alameda
6001407800,1,1234692,0,06001407800,Alameda
6001407900,1,1099097,0,06001407900,Alameda
6001408100,1,8935571,0,06001408100,Alameda
6001408400,1,542658,0,06001408400,Alameda
6001408800,1,1204352,0,06001408800,Alameda
6001408900,1,802406,0,06001408900,Alameda
6001409300,1,1076280,0,06001409300,Alameda
6001409800,1,1790024,0,06001409800,Alameda
6001409900,1,4332544,0,06001409900,Alameda
6001410100,1,784437,0,06001410100,Alameda
6001410400,1,706611,0,06001410400,Alameda
6001443301,1,1577682,0,06001443301,Alameda
6001444100,1,2955573,60526,06001444100,Alameda
6001444302,1,22310824,0,06001444302,Alameda
6001420600,1,789445,0,06001420600,Alameda
6001421200,1,1354147,1509,06001421200,Alameda
6001421300,1,1106644,0,06001421300,Alameda
6001421500,1,1590680,3635,06001421500,Alameda
6001422000,1,4498259,5864363,06001422000,Alameda
6001422500,1,460335,0,06001422500,Alameda
6001422600,1,1699288,0,06001422600,Alameda
6001423300,1,726625,0,06001423300,Alameda
6001423601,1,523436,0,06001423601,Alameda
6001423700,1,728690,0,06001423700,Alameda
6001424002,1,327217,0,06001424002,Alameda
