OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790141324028|06001401800|Census Tract 4018|301016|0|G5020|S|20740141324090|06001402200|Census Tract 4022|712081|0|G5020|S|2382|0
20790141324090|06001402200|Census Tract 4022|715655|0|G5020|S|20740141324090|06001402200|Census Tract 4022|712081|0|G5020|S|708023|0
20790141324090|06001402200|Census Tract 4022|715655|0|G5020|S|207403717158706|06001410500|Census Tract 4105|724477|0|G5020|S|7632|0
20790141324032|06001402400|Census Tract 4024|337011|0|G5020|S|20740141324032|06001402400|Census Tract 4024|337011|0|G5020|S|337011|0
20790141323936|06001402500|Census Tract 4025|365454|0|G5020|S|20740141323936|06001402500|Census Tract 4025|365454|0|G5020|S|365454|0
20790141323911|06001402600|Census Tract 4026|318840|0|G5020|S|20740141323911|06001402600|Census Tract 4026|318840|0|G5020|S|318840|0
20790141324044|06001402700|Census Tract 4027|387217|0|G5020|S|20740141324044|06001402700|Census Tract 4027|398824|0|G5020|S|387217|0
2079015504372403|06001402801|Census Tract 4028.01|291358|0|G5020|S|20740141324044|06001402700|Census Tract 4027|398824|0|G5020|S|11607|0
2079015504372403|06001402801|Census Tract 4028.01|291358|0|G5020|S|20740141324030|06001402800|Census Tract 4028|398311|0|G5020|S|279751|0
2079015504372405|06001402802|Census Tract 4028.02|118560|0|G5020|S|20740141324030|06001402800|Census Tract 4028|398311|0|G5020|S|118560|0
20790141323976|06001402900|Census Tract 4029|407131|0|G5020|S|20740141323976|06001402900|Census Tract 4029|391800|0|G5020|S|391800|0
20790141323976|06001402900|Census Tract 4029|407131|0|G5020|S|20740141324035|06001403400|Census Tract 4034|664232|602434|G5020|S|15331|0
20790141324038|06001403000|Census Tract 4030|352394|0|G5020|S|20740141324038|06001403000|Census Tract 4030|352394|0|G5020|S|352394|0
20790141323815|06001403100|Census Tract 4031|346852|0|G5020|S|20740141323815|06001403100|Census Tract 4031|346852|0|G5020|S|346852|0
2079015504372419|06001403301|Census Tract 4033.01|196598|0|G5020|S|20740141323811|06001403300|Census Tract 4033|916627|96764|G5020|S|196598|0
2079015504372387|06001403302|Census Tract 4033.02|719239|104126|G5020|S|20740141323811|06001403300|Census Tract 4033|916627|96764|G5020|S|719239|96764
