MSSA_ID,changeCode,changeSystem,adjustedID,adjustedID2,adjustedMSSA_NAME,CNTY_FIPS,COUNTY,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,POP_CIV
102,2,"53,54,55,102,103",53plusMONO,53plus,Bishop/Bishop Paiute Tribe/Mustang Mesa/Round Valley/West Bishop/Wilkerson/Aberdeen/Big Pine/Big Pine Reservation/Fort Independence Indian/Independence/Alabama Hills/Cartago/Darwin/Keeler/Lone Pine/Lone Pine Paiute Shoshone Tribe/Olancha/Pearsonville/Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker/Mammoth Lakes,51,Mono,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,Frontier,1.90606,3065.485264,5843,5812
103,2,"53,54,55,102,103",53plusMONO,53plus,Bishop/Bishop Paiute Tribe/Mustang Mesa/Round Valley/West Bishop/Wilkerson/Aberdeen/Big Pine/Big Pine Reservation/Fort Independence Indian/Independence/Alabama Hills/Cartago/Darwin/Keeler/Lone Pine/Lone Pine Paiute Shoshone Tribe/Olancha/Pearsonville/Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker/Mammoth Lakes,51,Mono,Mammoth Lakes,Rural,121.446424,66.383181,8062,7977
104,2,"104,105,106,107",107plus,107plus,Big Sur/Lucia/King City/San Lucas/Bradley/San Ardo/Chualar/Gonzalez/Greenfield/Soledad,53,Monterey,Big Sur/Lucia,Frontier,7.504602,259.041024,1944,1142
105,2,"104,105,106,107",107plus,107plus,Big Sur/Lucia/King City/San Lucas/Bradley/San Ardo/Chualar/Gonzalez/Greenfield/Soledad,53,Monterey,King City/San Lucas,Rural,34.327273,451.536001,15500,15500
106,2,"104,105,106,107",107plus,107plus,Big Sur/Lucia/King City/San Lucas/Bradley/San Ardo/Chualar/Gonzalez/Greenfield/Soledad,53,Monterey,Bradley/San Ardo,Frontier,2.138582,1435.062433,3069,3069
107,1,"104,105,106,107",107plus,107plus,Big Sur/Lucia/King City/San Lucas/Bradley/San Ardo/Chualar/Gonzalez/Greenfield/Soledad,53,Monterey,Chualar/Gonzalez/Greenfield/Soledad,Rural,107.896219,489.525957,52818,42163
108,0,108,108,108,Carmel Valley/Castroville/Marina/Moss Landing/Ord,53,Monterey,Carmel Valley/Castroville/Marina/Moss Landing/Ord,Rural,162.375226,344.147326,55881,54817
109.1,0,109.1,109.1,109.1,Aromas/Las Lomas/Pajaro/Prunedale,53,Monterey,Aromas/Las Lomas/Pajaro/Prunedale,Rural,190.094019,211.469041,40199,40126
109.2,0,109.2,109.2,109.2,Salinas/Spreckels,53,Monterey,Salinas/Spreckels,Urban,3814.738303,38.710388,147670,146090
110,0,110,110,110,Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside,53,Monterey,Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside,Urban,895.317522,100.918386,90354,87049
