Indicator,Geography,Year,Strata,Strata Name,Numerator,Denominator,Rate,Age Adjusted Rate,SE Adjusted Rate
Suicide,San Mateo,2000,Sex,Female,11,360214,3.05374,2.85767,0.866879
Suicide,Sacramento,2000,Sex,Female,35,628874,5.5655,5.57168,0.942636
Suicide,Orange,2000,Sex,Female,61,1437510,4.24346,4.33304,0.556939
Suicide,Butte,2000,Sex,Female,12,103680,11.5741,11.7811,3.45493
Suicide,San Diego,2000,Sex,Female,79,1407430,5.61307,5.71116,0.645029
Suicide,Santa Barbara,2000,Sex,Female,14,199809,7.00669,7.49838,2.00647
Suicide,San Bernardino,2000,Sex,Female,43,862188,4.98731,5.31977,0.816002
Suicide,San Joaquin,2000,Sex,Female,11,284385,3.868,4.11137,1.24083
Suicide,Sonoma,2000,Sex,Female,16,234122,6.83406,5.99165,1.52479
Suicide,Alameda,2000,Sex,Female,20,738302,2.70892,2.66721,0.598655
Suicide,Solano,2000,Sex,Female,11,197103,5.58084,5.76859,1.74608
Suicide,CALIFORNIA,2000,Sex,Female,682,17079600,3.99307,4.06709,0.155997
Suicide,Santa Clara,2000,Sex,Female,31,833488,3.71931,3.67282,0.663161
Suicide,Los Angeles,2000,Sex,Female,149,4832330,3.0834,3.27468,0.269122
Suicide,Riverside,2000,Sex,Female,41,781403,5.24698,5.54556,0.868553
Suicide,San Francisco,2000,Sex,Female,19,383182,4.95848,4.16471,0.980908
Suicide,Kern,2000,Sex,Female,11,323195,3.40351,3.73315,1.12704
Suicide,Ventura,2000,Sex,Female,15,379788,3.94957,3.98296,1.02956
Suicide,Los Angeles,2000,Sex,Male,562,4711650,11.9279,13.6801,0.599889
Suicide,Santa Clara,2000,Sex,Male,86,853927,10.0711,10.265,1.15938
Suicide,Kings,2000,Sex,Male,11,74473.2,14.7704,17.8009,6.31411
Suicide,Alameda,2000,Sex,Male,88,710466,12.3862,13.3917,1.46533
Suicide,Butte,2000,Sex,Male,28,99765.9,28.0657,28.0815,5.37654
Suicide,San Bernardino,2000,Sex,Male,137,857002,15.986,19.5506,1.75551
Suicide,San Mateo,2000,Sex,Male,42,348170,12.0631,12.504,1.9507
Suicide,Santa Barbara,2000,Sex,Male,36,200065,17.9941,19.9144,3.3333
Suicide,Kern,2000,Sex,Male,57,341178,16.7068,20.5829,2.90443
Suicide,Solano,2000,Sex,Male,27,198888,13.5755,16.1862,3.26664
Suicide,San Diego,2000,Sex,Male,254,1420940,17.8754,19.2719,1.24229
Suicide,Orange,2000,Sex,Male,174,1416390,12.2848,13.4336,1.04977
Suicide,Sonoma,2000,Sex,Male,38,226355,16.7878,17.8449,2.92556
Suicide,Riverside,2000,Sex,Male,129,775868,16.6265,18.6179,1.68509
Suicide,San Joaquin,2000,Sex,Male,46,283368,16.2333,18.8778,2.85564
Suicide,CALIFORNIA,2000,Sex,Male,2431,16921200,14.3666,15.8863,0.330866
Suicide,Ventura,2000,Sex,Male,50,377114,13.2586,15.2502,2.21288
Suicide,San Francisco,2000,Sex,Male,74,395760,18.6982,17.8447,2.1373
Suicide,Sacramento,2000,Sex,Male,90,601627,14.9594,16.2463,1.7482
Suicide,Santa Barbara,2000,Sex,Total,50,399874,12.5039,13.1843,1.86852
Suicide,Solano,2000,Sex,Total,38,395991,9.59618,10.42,1.7106
Suicide,Nevada,2000,Sex,Total,22,91872,23.9464,23.6786,5.41148
Suicide,Humboldt,2000,Sex,Total,24,126665,18.9476,19.3326,3.96894
Suicide,Monterey,2000,Sex,Total,22,402854,5.46104,5.73725,1.2351
Suicide,San Francisco,2000,Sex,Total,93,778942,11.9393,10.9976,1.16405
Suicide,Marin,2000,Sex,Total,27,247424,10.9124,9.95202,1.95011
Suicide,Siskiyou,2000,Sex,Total,12,44382,27.038,25.3807,7.49137
Suicide,Tehama,2000,Sex,Total,12,55832,21.4931,21.504,6.27135
Suicide,Santa Cruz,2000,Sex,Total,34,255869,13.288,13.3763,2.32206
Suicide,San Diego,2000,Sex,Total,333,2828370,11.7735,12.1277,0.669274
Suicide,Los Angeles,2000,Sex,Total,711,9543980,7.44972,8.03939,0.305322
Suicide,Riverside,2000,Sex,Total,170,1557270,10.9165,11.6099,0.895999
Suicide,Butte,2000,Sex,Total,40,203446,19.6612,19.4329,3.12984
Suicide,Fresno,2000,Sex,Total,59,802224,7.35455,8.0237,1.05537
Suicide,San Luis Obispo,2000,Sex,Total,29,247724,11.7066,11.4002,2.1422
Suicide,Sonoma,2000,Sex,Total,54,460477,11.727,11.4523,1.5677
Suicide,Tulare,2000,Sex,Total,27,368805,7.32094,8.2283,1.59654
Suicide,Kings,2000,Sex,Total,11,129764,8.47693,9.20165,2.91919
Suicide,Sutter,2000,Sex,Total,13,79202,16.4137,17.074,4.74438
Suicide,Alameda,2000,Sex,Total,108,1448770,7.45461,7.64369,0.743125
Suicide,Ventura,2000,Sex,Total,65,756902,8.58764,9.11386,1.13717
Suicide,Kern,2000,Sex,Total,68,664373,10.2352,11.6016,1.42694
Suicide,Contra Costa,2000,Sex,Total,69,953675,7.23517,7.34241,0.887808
Suicide,Stanislaus,2000,Sex,Total,36,449767,8.00414,8.37105,1.39956
Suicide,Merced,2000,Sex,Total,11,211109,5.21058,6.0892,1.86204
Suicide,San Bernardino,2000,Sex,Total,180,1719190,10.47,11.8875,0.901562
Suicide,El Dorado,2000,Sex,Total,19,158288,12.0034,12.3361,2.89162
Suicide,CALIFORNIA,2000,Sex,Total,3113,34000800,9.15566,9.56368,0.172398
Suicide,San Mateo,2000,Sex,Total,53,708384,7.48182,7.4469,1.03096
Suicide,Orange,2000,Sex,Total,235,2853890,8.23437,8.63044,0.568737
Suicide,Imperial,2000,Sex,Total,13,143151,9.08132,9.75071,2.73303
Suicide,Placer,2000,Sex,Total,28,251731,11.123,11.0836,2.11075
Suicide,Mendocino,2000,Sex,Total,16,86506,18.4958,16.85,4.24607
Suicide,San Joaquin,2000,Sex,Total,57,567753,10.0396,10.7668,1.43121
Suicide,Yolo,2000,Sex,Total,19,169818,11.1884,12.3057,2.86673
Suicide,Shasta,2000,Sex,Total,24,164150,14.6208,15.2358,3.15605
Suicide,Santa Clara,2000,Sex,Total,117,1687420,6.93368,6.82091,0.642324
Suicide,Sacramento,2000,Sex,Total,125,1230500,10.1585,10.4623,0.93878
Suicide,Alameda,2001,Sex,Female,24,746596,3.21459,3.25012,0.666401
Suicide,Sacramento,2001,Sex,Female,22,646848,3.40111,3.45152,0.736589
Suicide,Kern,2001,Sex,Female,12,330250,3.63361,3.83625,1.11404
Suicide,Sonoma,2001,Sex,Female,11,236637,4.64847,4.37737,1.33455
Suicide,San Mateo,2001,Sex,Female,11,359709,3.05803,2.93868,0.892816
Suicide,Orange,2001,Sex,Female,57,1456260,3.91413,4.02477,0.534572
Suicide,San Francisco,2001,Sex,Female,32,384805,8.31589,7.12272,1.28749
Suicide,San Bernardino,2001,Sex,Female,25,885147,2.82439,3.04779,0.612307
Suicide,CALIFORNIA,2001,Sex,Female,685,17339700,3.95047,4.0054,0.153249
Suicide,Fresno,2001,Sex,Female,21,407172,5.15753,5.51001,1.2101
Suicide,Riverside,2001,Sex,Female,42,814467,5.15675,5.38473,0.832661
Suicide,Ventura,2001,Sex,Female,15,385918,3.88684,3.9257,1.01508
Suicide,Stanislaus,2001,Sex,Female,11,235061,4.67964,4.94907,1.49356
Suicide,San Diego,2001,Sex,Female,79,1428110,5.53177,5.5252,0.623238
Suicide,Los Angeles,2001,Sex,Female,154,4880160,3.15563,3.23125,0.261705
Suicide,Contra Costa,2001,Sex,Female,19,497442,3.81954,3.55078,0.817899
Suicide,Santa Clara,2001,Sex,Female,29,836732,3.46587,3.4404,0.641806
Suicide,San Francisco,2001,Sex,Male,74,397418,18.6202,17.3619,2.08125
Suicide,Fresno,2001,Sex,Male,61,407831,14.9572,16.7175,2.1964
Suicide,Alameda,2001,Sex,Male,84,718968,11.6834,13.2949,1.50892
Suicide,Santa Clara,2001,Sex,Male,91,856439,10.6254,12.1524,1.35866
Suicide,Stanislaus,2001,Sex,Male,34,228067,14.9079,16.5879,2.88712
Suicide,San Mateo,2001,Sex,Male,40,347751,11.5025,13.2211,2.15983
Suicide,Sonoma,2001,Sex,Male,30,228786,13.1127,13.351,2.46298
Suicide,Orange,2001,Sex,Male,179,1433650,12.4856,13.7687,1.06201
Suicide,Contra Costa,2001,Sex,Male,67,473054,14.1633,15.3954,1.90774
Suicide,Ventura,2001,Sex,Male,62,383073,16.1849,17.5169,2.26089
Suicide,San Diego,2001,Sex,Male,235,1441980,16.297,17.8264,1.18672
Suicide,San Bernardino,2001,Sex,Male,132,878633,15.0233,17.9423,1.64722
Suicide,Riverside,2001,Sex,Male,142,807987,17.5745,19.2117,1.63295
Suicide,CALIFORNIA,2001,Sex,Male,2571,17173000,14.9711,16.4069,0.331343
Suicide,Sacramento,2001,Sex,Male,112,618919,18.0961,19.3235,1.85315
Suicide,Los Angeles,2001,Sex,Male,608,4755630,12.7848,14.1245,0.592545
Suicide,Kern,2001,Sex,Male,53,349424,15.1678,17.8503,2.57286
Suicide,Shasta,2001,Sex,Total,40,167034,23.9472,23.4366,3.76829
Suicide,Riverside,2001,Sex,Total,184,1622450,11.3408,12.0282,0.889459
Suicide,Solano,2001,Sex,Total,40,402968,9.92635,10.6122,1.69463
Suicide,Tehama,2001,Sex,Total,12,56465,21.2521,19.0374,5.54943
Suicide,San Diego,2001,Sex,Total,314,2870100,10.9404,11.2751,0.639985
Suicide,Orange,2001,Sex,Total,236,2889910,8.16635,8.54801,0.560608
Suicide,Los Angeles,2001,Sex,Total,762,9635800,7.90801,8.32152,0.304969
Suicide,Nevada,2001,Sex,Total,14,93515,14.9709,11.7793,3.17349
Suicide,Santa Cruz,2001,Sex,Total,30,256166,11.7112,12.1728,2.24213
Suicide,Sutter,2001,Sex,Total,11,80240,13.7089,14.2258,4.29405
Suicide,CALIFORNIA,2001,Sex,Total,3256,34512700,9.4342,9.81342,0.172841
Suicide,Napa,2001,Sex,Total,19,126188,15.0569,13.3862,3.10864
Suicide,Stanislaus,2001,Sex,Total,45,463128,9.71654,10.4022,1.55463
Suicide,El Dorado,2001,Sex,Total,25,161880,15.4435,15.3771,3.14942
Suicide,Madera,2001,Sex,Total,19,126456,15.025,16.5581,3.82065
Suicide,Marin,2001,Sex,Total,38,247731,15.3392,13.6612,2.29536
Suicide,San Bernardino,2001,Sex,Total,157,1763780,8.90134,9.99418,0.811693
Suicide,Sonoma,2001,Sex,Total,41,465423,8.80919,8.42974,1.32418
Suicide,San Luis Obispo,2001,Sex,Total,40,251652,15.895,15.8149,2.53499
Suicide,Santa Clara,2001,Sex,Total,120,1693170,7.08729,7.38425,0.6858
Suicide,San Joaquin,2001,Sex,Total,55,588581,9.34451,9.90075,1.33994
Suicide,Lake,2001,Sex,Total,15,60046,24.9808,24.1962,6.53731
Suicide,Monterey,2001,Sex,Total,31,406264,7.63051,7.93173,1.43872
Suicide,Fresno,2001,Sex,Total,82,815003,10.0613,10.8899,1.21432
Suicide,Ventura,2001,Sex,Total,77,768991,10.0131,10.4168,1.19287
Suicide,Santa Barbara,2001,Sex,Total,45,403442,11.154,11.3262,1.69787
Suicide,Alameda,2001,Sex,Total,108,1465560,7.36918,7.6839,0.747189
Suicide,Yolo,2001,Sex,Total,16,175102,9.13753,9.7392,2.50308
Suicide,Mendocino,2001,Sex,Total,13,87140,14.9185,15.715,4.40658
Suicide,Kern,2001,Sex,Total,65,679674,9.56341,10.575,1.33052
Suicide,San Mateo,2001,Sex,Total,51,707460,7.20889,7.16139,1.00868
Suicide,San Francisco,2001,Sex,Total,106,782223,13.5511,12.2773,1.21518
Suicide,Contra Costa,2001,Sex,Total,86,970496,8.86145,9.03606,0.979291
Suicide,Merced,2001,Sex,Total,24,217319,11.0437,13.0049,2.67457
Suicide,Tulare,2001,Sex,Total,23,374152,6.14723,7.17435,1.50659
Suicide,Sacramento,2001,Sex,Total,134,1265770,10.5865,10.8508,0.939894
Suicide,Placer,2001,Sex,Total,29,264925,10.9465,10.906,2.03605
Suicide,Humboldt,2001,Sex,Total,29,127348,22.7722,21.5661,4.03182
Suicide,Butte,2001,Sex,Total,31,205730,15.0683,15.3429,2.80738
Suicide,San Diego,2002,Sex,Female,78,1448210,5.38595,5.35618,0.607885
Suicide,Ventura,2002,Sex,Female,16,391526,4.08657,4.08297,1.02133
Suicide,San Bernardino,2002,Sex,Female,35,903725,3.87286,4.16491,0.707303
Suicide,Riverside,2002,Sex,Female,28,847762,3.30281,3.40437,0.644753
Suicide,Santa Barbara,2002,Sex,Female,11,202843,5.42293,5.29204,1.61422
Suicide,Sacramento,2002,Sex,Female,38,660747,5.75107,5.79643,0.941047
Suicide,Contra Costa,2002,Sex,Female,24,501572,4.78495,4.56628,0.936913
Suicide,CALIFORNIA,2002,Sex,Female,710,17554700,4.04451,4.08806,0.153602
Suicide,San Mateo,2002,Sex,Female,12,358384,3.34836,3.01101,0.872623
Suicide,Santa Clara,2002,Sex,Female,34,837293,4.0607,4.0089,0.690315
Suicide,Orange,2002,Sex,Female,60,1469090,4.08416,4.15867,0.538487
Suicide,Los Angeles,2002,Sex,Female,163,4924250,3.31015,3.41111,0.26816
Suicide,San Joaquin,2002,Sex,Female,13,302553,4.29677,4.50386,1.24985
Suicide,Sonoma,2002,Sex,Female,11,236918,4.64296,4.17765,1.28161
Suicide,Marin,2002,Sex,Female,12,125308,9.57642,8.48359,2.58274
Suicide,Alameda,2002,Sex,Female,37,747987,4.94661,4.85724,0.802972
Suicide,San Francisco,2002,Sex,Female,16,385350,4.15207,3.40896,0.874623
Suicide,CALIFORNIA,2002,Sex,Male,2500,17383600,14.3814,15.806,0.323402
Suicide,San Diego,2002,Sex,Male,230,1462230,15.7294,16.9663,1.14222
Suicide,Alameda,2002,Sex,Male,98,720481,13.602,15.0649,1.56517
Suicide,Sacramento,2002,Sex,Male,115,632736,18.175,19.5663,1.8554
Suicide,Orange,2002,Sex,Male,181,1445350,12.5229,13.752,1.05145
Suicide,Sonoma,2002,Sex,Male,47,229080,20.5168,20.674,3.04492
Suicide,San Mateo,2002,Sex,Male,29,346513,8.3691,8.06655,1.51121
Suicide,San Francisco,2002,Sex,Male,65,397905,16.3355,15.3809,1.96453
Suicide,Los Angeles,2002,Sex,Male,564,4798200,11.7544,13.1707,0.57249
Suicide,Santa Clara,2002,Sex,Male,97,855869,11.3335,12.6726,1.35675
Suicide,Ventura,2002,Sex,Male,49,388368,12.6169,14.1015,2.05999
Suicide,Marin,2002,Sex,Male,23,122074,18.841,18.1858,3.8559
Suicide,Santa Barbara,2002,Sex,Male,33,203289,16.233,17.5917,3.08001
Suicide,San Joaquin,2002,Sex,Male,48,300991,15.9473,18.1489,2.67882
Suicide,Riverside,2002,Sex,Male,123,840645,14.6316,16.0468,1.46351
Suicide,Contra Costa,2002,Sex,Male,76,477223,15.9255,16.7225,1.94866
Suicide,San Bernardino,2002,Sex,Male,125,897124,13.9334,17.272,1.6374
Suicide,San Francisco,2002,Sex,Total,81,783255,10.3415,9.42223,1.07047
Suicide,Lake,2002,Sex,Total,18,61005,29.5058,27.147,6.71201
Suicide,Butte,2002,Sex,Total,31,208154,14.8928,14.0239,2.5605
Suicide,San Joaquin,2002,Sex,Total,61,603544,10.107,10.8177,1.3903
Suicide,Merced,2002,Sex,Total,20,222733,8.97936,10.3738,2.36325
Suicide,Contra Costa,2002,Sex,Total,100,978795,10.2166,10.1727,1.02177
Suicide,CALIFORNIA,2002,Sex,Total,3210,34938300,9.18763,9.54764,0.169248
Suicide,San Bernardino,2002,Sex,Total,160,1800850,8.8847,10.0914,0.812483
Suicide,Shasta,2002,Sex,Total,38,169578,22.4086,21.5002,3.56468
Suicide,Santa Clara,2002,Sex,Total,131,1693160,7.737,7.9967,0.708749
Suicide,Sutter,2002,Sex,Total,11,81936,13.4251,13.8666,4.1895
Suicide,Alameda,2002,Sex,Total,135,1468470,9.19325,9.46777,0.822499
Suicide,Yolo,2002,Sex,Total,16,179271,8.92504,10.5935,2.68922
Suicide,Riverside,2002,Sex,Total,151,1688410,8.94334,9.47592,0.773132
Suicide,Solano,2002,Sex,Total,39,406816,9.58664,10.1462,1.64332
Suicide,Tuolumne,2002,Sex,Total,11,55910,19.6745,17.8319,5.54893
Suicide,Nevada,2002,Sex,Total,17,94580,17.9742,18.6036,4.87631
Suicide,Sacramento,2002,Sex,Total,153,1293480,11.8285,12.0963,0.980207
Suicide,San Luis Obispo,2002,Sex,Total,36,253549,14.1984,13.789,2.32643
Suicide,El Dorado,2002,Sex,Total,22,164725,13.3556,13.7714,2.99462
Suicide,Orange,2002,Sex,Total,241,2914440,8.26918,8.65361,0.561225
Suicide,Tulare,2002,Sex,Total,30,381194,7.87001,8.82268,1.63077
Suicide,Stanislaus,2002,Sex,Total,44,473580,9.29093,9.66999,1.46458
Suicide,Sonoma,2002,Sex,Total,58,465998,12.4464,11.8605,1.56884
Suicide,Monterey,2002,Sex,Total,29,408599,7.09742,7.74114,1.44726
Suicide,Placer,2002,Sex,Total,39,276817,14.0887,14.1656,2.28847
Suicide,Marin,2002,Sex,Total,35,247382,14.1482,12.6846,2.19919
Suicide,Fresno,2002,Sex,Total,50,828637,6.03401,6.71497,0.956656
Suicide,Mendocino,2002,Sex,Total,14,87507,15.9987,14.8919,4.03311
Suicide,Santa Cruz,2002,Sex,Total,31,255590,12.1288,12.0901,2.19734
Suicide,Los Angeles,2002,Sex,Total,727,9722440,7.47754,7.9237,0.296813
Suicide,Santa Barbara,2002,Sex,Total,44,406132,10.8339,11.1124,1.6823
Suicide,Madera,2002,Sex,Total,11,128484,8.56138,8.9238,2.69413
Suicide,San Diego,2002,Sex,Total,308,2910450,10.5826,10.8425,0.620851
Suicide,San Mateo,2002,Sex,Total,41,704897,5.81645,5.50535,0.863416
Suicide,Kings,2002,Sex,Total,13,134664,9.65366,9.90444,2.85551
Suicide,Humboldt,2002,Sex,Total,26,128755,20.1934,19.167,3.79553
Suicide,Ventura,2002,Sex,Total,65,779894,8.33447,8.6413,1.0759
Suicide,Kern,2002,Sex,Total,74,696504,10.6245,11.8621,1.39573
Suicide,Kern,2003,Sex,Female,16,348293,4.59383,4.9561,1.24155
Suicide,Riverside,2003,Sex,Female,35,890269,3.9314,4.06277,0.688271
Suicide,Fresno,2003,Sex,Female,14,423018,3.30955,3.51955,0.947207
Suicide,Contra Costa,2003,Sex,Female,21,507028,4.14179,3.96311,0.870747
Suicide,Alameda,2003,Sex,Female,22,747441,2.94338,2.83425,0.60658
Suicide,Sacramento,2003,Sex,Female,42,674719,6.22482,6.20915,0.959246
Suicide,Santa Barbara,2003,Sex,Female,13,204367,6.3611,6.31045,1.77237
Suicide,CALIFORNIA,2003,Sex,Female,733,17782900,4.12194,4.14951,0.153462
Suicide,Los Angeles,2003,Sex,Female,145,4959620,2.92361,2.98204,0.248323
Suicide,San Bernardino,2003,Sex,Female,33,929010,3.55217,3.82728,0.669634
Suicide,Orange,2003,Sex,Female,68,1482040,4.58828,4.62299,0.561557
Suicide,San Diego,2003,Sex,Female,62,1464990,4.2321,4.19922,0.534643
Suicide,San Mateo,2003,Sex,Female,11,357397,3.07781,2.79247,0.849198
Suicide,Santa Clara,2003,Sex,Female,38,838473,4.53205,4.51528,0.735035
Suicide,Santa Cruz,2003,Sex,Female,13,127867,10.1668,9.67689,2.72097
Suicide,Ventura,2003,Sex,Female,19,396323,4.79407,4.7794,1.09905
Suicide,Monterey,2003,Sex,Female,14,199426,7.02016,7.20591,1.92854
Suicide,Sonoma,2003,Sex,Female,13,238069,5.4606,5.03068,1.41762
Suicide,Stanislaus,2003,Sex,Female,18,244919,7.34937,7.92817,1.87119
Suicide,San Francisco,2003,Sex,Female,25,384643,6.49953,6.08628,1.2442
Suicide,Santa Cruz,2003,Sex,Male,25,127255,19.6455,23.3982,4.83897
Suicide,San Diego,2003,Sex,Male,264,1478970,17.8503,18.7425,1.17289
Suicide,Sacramento,2003,Sex,Male,113,646244,17.4856,17.688,1.67774
Suicide,Stanislaus,2003,Sex,Male,42,238088,17.6405,19.4801,3.05316
Suicide,Riverside,2003,Sex,Male,134,882158,15.19,16.7139,1.46425
Suicide,Los Angeles,2003,Sex,Male,582,4831400,12.0462,13.2794,0.565478
Suicide,Santa Barbara,2003,Sex,Male,23,205145,11.2116,12.2495,2.58131
Suicide,San Mateo,2003,Sex,Male,59,345665,17.0685,17.5382,2.31938
Suicide,Fresno,2003,Sex,Male,64,422899,15.1336,16.5772,2.11935
Suicide,San Bernardino,2003,Sex,Male,164,921065,17.8055,21.575,1.77766
Suicide,Sonoma,2003,Sex,Male,56,230188,24.3279,24.2986,3.27319
Suicide,Santa Clara,2003,Sex,Male,98,855738,11.4521,11.7607,1.22094
Suicide,CALIFORNIA,2003,Sex,Male,2663,17606100,15.1255,16.3171,0.322217
Suicide,Orange,2003,Sex,Male,175,1457680,12.0053,13.3712,1.04181
Suicide,Kern,2003,Sex,Male,55,369504,14.8848,16.6898,2.30533
Suicide,Ventura,2003,Sex,Male,51,393044,12.9756,14.6016,2.08791
Suicide,Monterey,2003,Sex,Male,36,212515,16.9399,19.2662,3.31506
Suicide,Alameda,2003,Sex,Male,97,719746,13.477,15.1835,1.59325
Suicide,San Francisco,2003,Sex,Male,76,397227,19.1327,16.7665,1.96407
Suicide,Contra Costa,2003,Sex,Male,78,482677,16.1599,17.5885,2.02016
Suicide,Kings,2003,Sex,Total,16,138772,11.5297,12.1416,3.12723
Suicide,San Mateo,2003,Sex,Total,70,703062,9.95645,9.52207,1.14233
Suicide,San Bernardino,2003,Sex,Total,197,1850080,10.6482,12.02,0.87222
Suicide,Alameda,2003,Sex,Total,119,1467190,8.11076,8.30623,0.768779
Suicide,Humboldt,2003,Sex,Total,25,130179,19.2043,18.2585,3.68617
Suicide,Nevada,2003,Sex,Total,19,95974,19.797,18.2845,4.40198
Suicide,Mendocino,2003,Sex,Total,16,88017,18.1783,17.5549,4.46344
Suicide,El Dorado,2003,Sex,Total,29,167670,17.2959,16.2342,3.05605
Suicide,Yuba,2003,Sex,Total,15,63962,23.4514,25.8222,6.72102
Suicide,Contra Costa,2003,Sex,Total,99,989705,10.003,10.0529,1.01522
Suicide,Fresno,2003,Sex,Total,78,845917,9.22076,9.88632,1.13021
Suicide,Ventura,2003,Sex,Total,70,789367,8.86787,9.29986,1.11621
Suicide,CALIFORNIA,2003,Sex,Total,3396,35388900,9.59622,9.89619,0.170484
Suicide,Solano,2003,Sex,Total,32,408929,7.82532,7.80238,1.38889
Suicide,Placer,2003,Sex,Total,43,290655,14.7942,14.6426,2.24934
Suicide,Stanislaus,2003,Sex,Total,60,483007,12.4222,13.3494,1.7305
Suicide,Monterey,2003,Sex,Total,50,411941,12.1377,12.8782,1.83469
Suicide,Yolo,2003,Sex,Total,15,182331,8.2268,8.78789,2.33838
Suicide,Kern,2003,Sex,Total,71,717797,9.89138,10.7809,1.29397
Suicide,Shasta,2003,Sex,Total,27,171987,15.6989,15.9412,3.13785
Suicide,Orange,2003,Sex,Total,243,2939720,8.2661,8.54996,0.551308
Suicide,Marin,2003,Sex,Total,27,247280,10.9188,9.43519,1.8469
Suicide,San Diego,2003,Sex,Total,326,2943960,11.0735,11.2698,0.627176
Suicide,San Francisco,2003,Sex,Total,101,781870,12.9177,11.664,1.18188
Suicide,Madera,2003,Sex,Total,13,132814,9.78812,10.6522,2.96417
Suicide,San Luis Obispo,2003,Sex,Total,31,255609,12.1279,11.6284,2.11586
Suicide,Tulare,2003,Sex,Total,38,390370,9.73435,10.5071,1.72418
Suicide,Sacramento,2003,Sex,Total,155,1320960,11.7339,11.7696,0.947242
Suicide,Butte,2003,Sex,Total,40,210623,18.9913,18.9687,3.06154
Suicide,Santa Barbara,2003,Sex,Total,36,409512,8.79095,8.73321,1.46378
Suicide,Merced,2003,Sex,Total,15,229182,6.54502,6.81619,1.78918
Suicide,San Joaquin,2003,Sex,Total,62,621108,9.98216,10.7062,1.36438
Suicide,Tuolumne,2003,Sex,Total,16,56442,28.3477,23.0887,5.91408
Suicide,Santa Clara,2003,Sex,Total,136,1694210,8.02734,8.06702,0.697381
Suicide,Riverside,2003,Sex,Total,169,1772430,9.53495,10.0381,0.774182
Suicide,Los Angeles,2003,Sex,Total,727,9791020,7.42517,7.79688,0.29151
Suicide,Santa Cruz,2003,Sex,Total,38,255122,14.8948,15.7594,2.59875
Suicide,Sonoma,2003,Sex,Total,69,468257,14.7355,14.39,1.74575
Suicide,Sonoma,2004,Sex,Female,19,238891,7.95341,6.91209,1.61697
Suicide,San Joaquin,2004,Sex,Female,15,320359,4.68224,4.93232,1.27792
Suicide,San Mateo,2004,Sex,Female,15,356547,4.20702,3.70911,0.959524
Suicide,Los Angeles,2004,Sex,Female,159,4976650,3.19492,3.23005,0.256739
Suicide,Ventura,2004,Sex,Female,19,399212,4.75938,4.7079,1.08359
Suicide,CALIFORNIA,2004,Sex,Female,821,17968300,4.56915,4.57615,0.159956
Suicide,Fresno,2004,Sex,Female,13,430198,3.02187,3.36337,0.939999
Suicide,San Francisco,2004,Sex,Female,23,384174,5.98687,5.17724,1.10599
Suicide,Contra Costa,2004,Sex,Female,30,511239,5.8681,5.8882,1.08103
Suicide,Orange,2004,Sex,Female,67,1490900,4.49394,4.48482,0.548705
Suicide,Monterey,2004,Sex,Female,12,199399,6.01809,6.19762,1.7964
Suicide,San Diego,2004,Sex,Female,85,1475090,5.76234,5.73765,0.623731
Suicide,Sacramento,2004,Sex,Female,43,685863,6.26947,6.27334,0.958785
Suicide,Stanislaus,2004,Sex,Female,13,248433,5.23279,5.40341,1.50283
Suicide,Alameda,2004,Sex,Female,43,746723,5.75849,5.5768,0.852847
Suicide,Santa Clara,2004,Sex,Female,36,840509,4.28312,4.23635,0.708227
Suicide,Butte,2004,Sex,Female,12,107746,11.1373,11.2303,3.30292
Suicide,San Bernardino,2004,Sex,Female,45,954481,4.7146,4.86058,0.727974
Suicide,Riverside,2004,Sex,Female,32,932886,3.43021,3.55194,0.629088
Suicide,Kern,2004,Sex,Female,22,358829,6.13106,6.53875,1.40027
Suicide,Placer,2004,Sex,Female,14,154645,9.053,8.53537,2.30832
Suicide,Contra Costa,2004,Sex,Male,71,486962,14.5802,14.5131,1.74023
Suicide,San Francisco,2004,Sex,Male,76,396525,19.1665,17.853,2.08228
Suicide,Alameda,2004,Sex,Male,88,718817,12.2423,12.6906,1.38686
Suicide,Stanislaus,2004,Sex,Male,46,241850,19.0201,20.5248,3.06248
Suicide,Butte,2004,Sex,Male,26,104466,24.8886,24.5912,4.90641
Suicide,San Mateo,2004,Sex,Male,49,344854,14.2089,13.9861,2.01678
Suicide,San Bernardino,2004,Sex,Male,140,945729,14.8034,16.987,1.49777
Suicide,Fresno,2004,Sex,Male,70,430028,16.278,17.8681,2.19604
Suicide,Kern,2004,Sex,Male,52,381193,13.6414,15.8331,2.29564
Suicide,Orange,2004,Sex,Male,188,1465580,12.8276,13.8134,1.03027
Suicide,San Diego,2004,Sex,Male,226,1488300,15.1852,16.2496,1.0992
Suicide,CALIFORNIA,2004,Sex,Male,2543,17784400,14.299,15.3389,0.309797
Suicide,Riverside,2004,Sex,Male,148,923993,16.0174,18.0392,1.50955
Suicide,Los Angeles,2004,Sex,Male,537,4845860,11.0816,12.1948,0.540453
Suicide,Ventura,2004,Sex,Male,46,395834,11.621,12.3155,1.84813
Suicide,Sacramento,2004,Sex,Male,123,657036,18.7204,20.0436,1.84025
Suicide,San Joaquin,2004,Sex,Male,47,318163,14.7723,16.1981,2.40159
Suicide,Placer,2004,Sex,Male,19,148170,12.8231,12.864,2.98444
Suicide,Monterey,2004,Sex,Male,24,211722,11.3356,12.5358,2.64709
